region,region_name,model,train_rows,val_rows,test_rows,test_months,best_iteration,selected_calibration,climatology_bs,raw_bs,raw_bss,raw_bss_ci_low,raw_bss_ci_high,selected_bs,selected_bss,selected_bss_ci_low,selected_bss_ci_high,pixel_dry_roc_auc_raw,scores_path
murray_darling_basin_masked,Murray-Darling Basin bounding box (basin-mask sensitivity),spatial,12352302,1937616,2543121,63,32,platt,0.028259214809735703,0.05522784897872485,-0.9543306263307099,-2.048090408869677,-0.34303588036897203,0.04768926327845909,-0.6875650508884437,-1.3792706556343253,-0.3009396734943719,0.6424297035644446,/Users/ishtisdream/chirps-drought-classifier/outputs/multiregion/murray_darling_basin_masked/spatial_scores.txt
murray_darling_basin_masked,Murray-Darling Basin bounding box (basin-mask sensitivity),tabular,12352302,1937616,2543121,63,103,platt,0.028259214809735703,0.047915568759078805,-0.6955732521829023,-1.6233753338467842,-0.16837284765262384,0.04632970426342639,-0.6394547610524957,-1.308198580874294,-0.27846251442524966,0.6305661290201023,/Users/ishtisdream/chirps-drought-classifier/outputs/multiregion/murray_darling_basin_masked/tabular_scores.txt
