target_time,y_true_dry_frac,edl_raw_prob_dry,edl_isotonic_prob_dry,edl_platt_prob_dry,edl_selected_prob_dry,clim_prob_dry,total_u,aleatoric_u,epistemic_u
2021-01-01,0.0029342723004694834,0.2997549,0.1396827,0.14407769652675984,0.1396827,0.17397887323943662,1.0945044,0.8510217,0.2434826
2021-02-01,0.4552523474178404,0.28322002,0.13215387,0.1451548967407186,0.13215387,0.1362030516431925,1.08817,0.8560385,0.23213154
2021-03-01,0.20862676056338028,0.34646392,0.14741173,0.14108020563484047,0.14741173,0.2055281690140845,1.0936767,0.8558973,0.2377794
2021-04-01,0.8428697183098591,0.35160238,0.1488866,0.14074878784865058,0.1488866,0.1826056338028169,1.0963849,0.85504836,0.24133655
2021-05-01,0.45129107981220656,0.40069747,0.15040573,0.13764477852940293,0.15040573,0.17590962441314553,1.0881548,0.85055786,0.23759699
2021-06-01,0.3528462441314554,0.3282106,0.14575441,0.14224327687160457,0.14575441,0.1045950704225352,1.0968953,0.85330683,0.24358861
2021-07-01,0.0013204225352112676,0.2891719,0.13375907,0.14476678367384455,0.13375907,0.011838660166124955,1.0894269,0.85734993,0.23207687
2021-08-01,0.055474024068095096,0.3016202,0.1400218,0.1439571090378305,0.1400218,0.06350612991352644,1.0907694,0.84858507,0.24218431
2021-09-01,0.02597593190490167,0.31482238,0.14086215,0.14311194803896474,0.14086215,0.06587681470276129,1.0943258,0.85398257,0.24034321
2021-10-01,0.0,0.32168928,0.14439493,0.14266129037811787,0.14439493,0.1448827075478088,1.0928452,0.86072356,0.23212157
2021-11-01,0.08832159624413145,0.31681728,0.14265049,0.1429771503154588,0.14265049,0.18200952509931384,1.0882907,0.8525423,0.23574835
2021-12-01,0.0,0.2990011,0.13570456,0.14413073349836378,0.13570456,0.15560671722643557,1.0857565,0.8497137,0.23604289
2022-01-01,0.9843016431924883,0.35533887,0.14867622,0.14051460075272176,0.14867622,0.17397887323943662,1.0949315,0.8485149,0.24641664
2022-02-01,0.9765258215962441,0.30111653,0.13807964,0.14399050714301068,0.13807964,0.1362030516431925,1.087615,0.85392344,0.2336916
2022-03-01,0.5133509389671361,0.33107862,0.14594883,0.14205656003897357,0.14594883,0.2055281690140845,1.0970006,0.84370923,0.25329125
2022-04-01,0.2935739436619718,0.38583803,0.15040573,0.13857678393565329,0.15040573,0.1826056338028169,1.0920892,0.8478691,0.24422002
2022-05-01,0.562206572769953,0.39739358,0.1504047,0.13785429955029707,0.1504047,0.17590962441314553,1.0887669,0.84783304,0.24093388
2022-06-01,0.013791079812206572,0.35328224,0.15015244,0.14063943258468264,0.15015244,0.1045950704225352,1.0958042,0.847493,0.24831116
2022-07-01,0.0036678403755868545,0.28765184,0.13357493,0.14486592362084943,0.13357493,0.011838660166124955,1.0905064,0.8558959,0.23461054
2022-08-01,0.000146756677428823,0.28845057,0.13273254,0.14481378688358998,0.13273254,0.06350612991352644,1.089283,0.8544486,0.23483443
2022-09-01,0.0007337833871441151,0.30223736,0.13931765,0.14391793606621672,0.13931765,0.06587681470276129,1.0894381,0.8529872,0.23645093
2022-10-01,0.46521866744936896,0.33266723,0.1465934,0.14195716367513578,0.1465934,0.1448827075478088,1.0949857,0.86288184,0.23210387
2022-11-01,0.07115610328638497,0.34344614,0.14802659,0.14126804542241128,0.14802659,0.18200952509931384,1.0949602,0.8580116,0.23694858
2022-12-01,0.0,0.35947472,0.14969748,0.14024599648735517,0.14969748,0.15560671722643557,1.0956135,0.8499942,0.24561922
2023-01-01,0.0,0.2923298,0.13527791,0.144561681527036,0.13527791,0.17397887323943662,1.0920519,0.8551571,0.23689477
2023-02-01,0.0033744131455399062,0.3627592,0.14840192,0.14005382260433247,0.14840192,0.1362030516431925,1.0917207,0.85496086,0.23675987
