region,group_type,group_value,n_months,bs_climatology,bs_cfsv2_selected,bs_persistence_raw,bs_persistence_selected,cfsv2_bss_vs_climatology,persistence_raw_bss_vs_climatology,persistence_selected_bss_vs_climatology,cfsv2_bss_vs_persistence_raw,cfsv2_bss_vs_persistence_selected,delta_bs_cfsv2_minus_persistence_raw,delta_bs_raw_ci_low,delta_bs_raw_ci_high,delta_bs_cfsv2_minus_persistence_selected,delta_bs_selected_ci_low,delta_bs_selected_ci_high,added_value_status_raw,added_value_status_selected,source_file
cvalley,overall,all,39,0.08265673108752535,0.0404389273033228,0.039395599549487854,0.04398793256352999,0.5107606268568503,0.5233830441737191,0.46782395111958763,-0.026483357678675157,0.0806813381165733,0.0010433277538349425,-0.03978973881115119,0.03506302229113743,-0.00354900526020719,-0.019866685885313262,0.014210962805902451,persistence_uncertain_better,cfsv2_uncertain_added_value,results/report/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv
cvalley,previous_dry_tercile,high_previous_dry,13,0.17315178880204826,0.07204978478462686,0.07671990027052397,0.085630159737672,0.5838923450742048,0.5569211222054875,0.5054618821433795,0.060872283063842736,0.15859336236962107,-0.004670115485897117,-0.1167059192127933,0.08485761725035271,-0.013580374953045149,-0.04076272592608974,0.01785797369769123,cfsv2_uncertain_added_value,cfsv2_uncertain_added_value,results/report/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv
cvalley,previous_dry_tercile,low_previous_dry,13,0.03912616626727153,0.019809975610809674,0.017069720752783908,0.015790310603462823,0.49368983724376714,0.563726212372039,0.5964258165341594,-0.16053308063512728,-0.2545652905944318,0.002740254858025766,-0.04126883992179839,0.044064700701232785,0.004019665007346851,-0.03536319934032575,0.044067649124483466,persistence_uncertain_better,persistence_uncertain_better,results/report/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv
cvalley,previous_dry_tercile,middle_previous_dry,13,0.03569223819325633,0.02945702151453185,0.0243971776251557,0.030543327349455127,0.17469391089916453,0.31645705452662565,0.1442585588475097,-0.2073946407702092,0.03556606071416302,0.0050598438893761505,-0.007418187395077819,0.018387161944227435,-0.0010863058349232756,-0.015802193750799876,0.01808385308050942,persistence_uncertain_better,cfsv2_uncertain_added_value,results/report/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv
cvalley,season,DJF,10,0.049755543242614775,0.02977923764492995,0.035994388248505337,0.035781169681040156,0.40148904616069914,0.27657531397071033,0.2808606368426866,0.17266998846225623,0.1677399618182558,-0.006215150603575387,-0.06210874417223229,0.04969514020025299,-0.006001932036110207,-0.05291676602518661,0.05038402855856951,cfsv2_uncertain_added_value,cfsv2_uncertain_added_value,results/report/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv
cvalley,season,JJA,8,0.1402684221405831,0.058981305827992485,0.0027585006695231636,0.04970296440265584,0.5795111620427379,0.9803341291829855,0.6456582055735869,-20.381653620619943,-0.18667581575558634,0.05622280515846932,0.01304835788460097,0.10793770330642394,0.009278341425336643,-0.013802362151834644,0.03705757542931502,persistence_robustly_better,persistence_uncertain_better,results/report/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv
cvalley,season,MAM,11,0.08780330787568415,0.019549963649796526,0.010661038453190901,0.039154439838113855,0.7773436545525569,0.8785804463279985,0.554066460758512,-0.8337766752867424,0.5006961220585224,0.008888925196605625,-0.001511760220206872,0.019162165250626424,-0.01960447618831733,-0.0345147971301553,-0.004763391108576821,persistence_uncertain_better,cfsv2_robust_added_value,results/report/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv
cvalley,season,SON,10,0.06380733162301513,0.0592425741608588,0.10371450716036881,0.05293951197267688,0.07153970156792833,-0.6254324467465939,0.1703224280643365,0.4287918268824744,-0.11906158468999584,-0.044471932999510015,-0.17936023412772023,0.06145112877537848,0.00630306218818192,-0.024101288474479933,0.04296800192132973,cfsv2_uncertain_added_value,persistence_uncertain_better,results/report/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv
mediterranean_spain,overall,all,39,0.04652180184766109,0.05306757176645235,0.05032154501113304,0.044225457075457296,-0.14070327585818454,-0.08167661209500188,0.04936061547494086,-0.054569603431527725,-0.19993269206712028,0.0027460267553193057,-0.0383678124364593,0.036672822690594443,0.008842114690995051,-0.026947294259977675,0.04090113939800034,persistence_uncertain_better,persistence_uncertain_better,results/report/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv
mediterranean_spain,previous_dry_tercile,high_previous_dry,13,0.0602460889341574,0.057128063061542673,0.10249983349303878,0.0877319473112886,0.05175482637590634,-0.7013524911975655,-0.4562264350001264,0.44265213791374114,0.3488339788145576,-0.0453717704314961,-0.1328514449144293,0.029432736891771186,-0.030603884249745923,-0.10848569547258992,0.041899163581591126,cfsv2_uncertain_added_value,cfsv2_uncertain_added_value,results/report/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv
