region,region_name,countries,mask_note,pr_file,dataset_file,mask_file,pixel_file,lat_min,lat_max,lon_min,lon_max,grid_cells,valid_pr_cells,country_mask_cells,valid_in_country_cells,valid_outside_country_cells,valid_country_fraction,valid_outside_country_fraction,dataset_exists,dataset_rows,dataset_pixels,dataset_pixels_in_country,dataset_pixels_outside_country,dataset_country_fraction,dataset_rows_in_country,dataset_rows_outside_country,dataset_row_country_fraction
cvalley,California Central Valley,United States of America,Country mask is only a land/country sanity check; it is not a Central Valley basin polygon.,data/processed/chirps_v3_monthly_cvalley_1991_2026.nc,data/processed/dataset_forecast.parquet,data/processed/regions/cvalley/masks/cvalley_country_mask.nc,data/processed/regions/cvalley/masks/cvalley_country_mask_pixels.csv,35.42499542236328,40.57499694824219,-122.47500610351562,-119.02500915527344,7280,6816,6622,6622,194,0.971537558685446,0.028462441314553992,True,2842062,6816,6622,194,0.971537558685446,2761269,80793,0.971572400602098
southern_great_plains,Southern Great Plains,United States of America,Country mask should mainly confirm the rectangular box is within the U.S.,data/processed/regions/southern_great_plains/chirps_v3_monthly_southern_great_plains_1991_2026.nc,data/processed/regions/southern_great_plains/dataset_forecast_southern_great_plains.parquet,data/processed/regions/southern_great_plains/masks/southern_great_plains_country_mask.nc,data/processed/regions/southern_great_plains/masks/southern_great_plains_country_mask_pixels.csv,33.024993896484375,39.474998474121094,-103.47500610351562,-94.0250015258789,24700,24700,24700,24700,0,1.0,0.0,True,10299900,24700,24700,0,1.0,10299900,0,1.0
mediterranean_spain,Mediterranean Spain bounding box,Spain,Spain mask checks whether the rectangular box includes non-Spain land cells.,data/processed/regions/mediterranean_spain/chirps_v3_monthly_mediterranean_spain_1991_2026.nc,data/processed/regions/mediterranean_spain/dataset_forecast_mediterranean_spain.parquet,data/processed/regions/mediterranean_spain/masks/mediterranean_spain_country_mask.nc,data/processed/regions/mediterranean_spain/masks/mediterranean_spain_country_mask_pixels.csv,36.024993896484375,42.774993896484375,-6.475006103515625,1.4749908447265625,21760,17313,16336,16336,977,0.9435684167966268,0.05643158320337319,True,7219521,17313,16336,977,0.9435684167966268,6812112,407409,0.9435684167966268
