region,region_name,mask_label,source_url,source_note,boundary_file,selected_boundary_features,pr_file,dataset_file,mask_file,pixel_file,lat_min,lat_max,lon_min,lon_max,grid_cells,valid_pr_cells,basin_mask_cells,valid_in_basin_cells,valid_outside_basin_cells,valid_basin_fraction,valid_outside_basin_fraction,dataset_exists,dataset_rows,dataset_pixels,dataset_pixels_in_basin,dataset_pixels_outside_basin,dataset_basin_fraction,dataset_rows_in_basin,dataset_rows_outside_basin,dataset_row_basin_fraction
cvalley,California Central Valley,Central Valley DWR Bulletin 118 groundwater basins,https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_B118_CA_GroundwaterBasins/FeatureServer/0/query,CA DWR Bulletin 118 groundwater basin polygons; selected Basin_Number 5-021 Sacramento Valley and 5-022 San Joaquin Valley.,data/metadata/dwr/central_valley_b118_groundwater_basins.geojson,SACRAMENTO VALLEY - ANTELOPE; SACRAMENTO VALLEY - BEND; SACRAMENTO VALLEY - BUTTE; SACRAMENTO VALLEY - COLUSA; SACRAMENTO VALLEY - CORNING; SACRAMENTO VALLEY - LOS MOLINOS; SACRAMENTO VALLEY - NORTH AMERICAN; SACRAMENTO VALLEY - NORTH YUBA; SACRAMENTO VALLEY - RED BLUFF; SACRAMENTO VALLEY - SOLANO; SACRAMENTO VALLEY - SOUTH AMERICAN; SACRAMENTO VALLEY - SOUTH YUBA; SACRAMENTO VALLEY - SUTTER; SACRAMENTO VALLEY - VINA; SACRAMENTO VALLEY - WYANDOTTE CREEK; SACRAMENTO VALLEY - YOLO; SAN JOAQUIN VALLEY - CHOWCHILLA; SAN JOAQUIN VALLEY - COSUMNES; SAN JOAQUIN VALLEY - DELTA-MENDOTA; SAN JOAQUIN VALLEY - EAST CONTRA COSTA; SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN; SAN JOAQUIN VALLEY - KAWEAH; SAN JOAQUIN VALLEY - KERN COUNTY; SAN JOAQUIN VALLEY - KETTLEMAN PLAIN; SAN JOAQUIN VALLEY - KINGS; SAN JOAQUIN VALLEY - MADERA; SAN JOAQUIN VALLEY - MERCED; SAN JOAQUIN VALLEY - MODESTO; SAN JOAQUIN VALLEY - PLEASANT VALLEY; SAN JOAQUIN VALLEY - TRACY; SAN JOAQUIN VALLEY - TULARE LAKE; SAN JOAQUIN VALLEY - TULE; SAN JOAQUIN VALLEY - TURLOCK; SAN JOAQUIN VALLEY - WESTSIDE; SAN JOAQUIN VALLEY - WHITE WOLF,data/processed/chirps_v3_monthly_cvalley_1991_2026.nc,data/processed/dataset_forecast.parquet,data/processed/regions/cvalley/masks/cvalley_basin_mask.nc,data/processed/regions/cvalley/masks/cvalley_basin_mask_pixels.csv,35.42499542236328,40.57499694824219,-122.47500610351562,-119.02500915527344,7280,6816,1903,1903,4913,0.2791960093896714,0.7208039906103286,True,2842062,6816,1903,4913,0.2791960093896714,793551,2048511,0.2792166391866187
southern_great_plains,Southern Great Plains,Southern Great Plains EPA South Central Semi-Arid Prairies,https://dmap-prod-oms-edc.s3.us-east-1.amazonaws.com/ORD/Ecoregions/us/us_eco_l3_state_boundaries.zip,US EPA Level III ecoregions with state boundaries; selected features in NA_L2NAME=SOUTH CENTRAL SEMI-ARID PRAIRIES that intersect the configured Southern Great Plains bbox.,data/metadata/epa/southern_great_plains_level2_ecoregions.geojson,Central Great Plains; Cross Timbers; Flint Hills; High Plains; Southwestern Tablelands; Texas Blackland Prairies,data/processed/regions/southern_great_plains/chirps_v3_monthly_southern_great_plains_1991_2026.nc,data/processed/regions/southern_great_plains/dataset_forecast_southern_great_plains.parquet,data/processed/regions/southern_great_plains/masks/southern_great_plains_basin_mask.nc,data/processed/regions/southern_great_plains/masks/southern_great_plains_basin_mask_pixels.csv,33.024993896484375,39.474998474121094,-103.47500610351562,-94.0250015258789,24700,24700,19424,19424,5276,0.7863967611336032,0.21360323886639676,True,10299900,24700,19424,5276,0.7863967611336032,8099808,2200092,0.7863967611336032
murray_darling,Murray-Darling Basin bounding box,Murray-Darling Basin Boundary - Water Act 2007,https://data.gov.au/geoserver/murray-darling-basin-boundary/wfs?request=GetFeature&typeName=ckan_4ede9aed_5620_47db_a72b_0b3aa0a3ced0&outputFormat=json,Murray-Darling Basin Authority / data.gov.au Murray-Darling Basin Boundary as defined in Section 4(1) of the Water Act 2007.,data/metadata/mdb/murray_darling_basin_boundary_water_act_2007.geojson,Murray-Darling Basin,data/processed/regions/murray_darling/chirps_v3_monthly_murray_darling_1991_2026.nc,data/processed/regions/murray_darling/dataset_forecast_murray_darling.parquet,data/processed/regions/murray_darling/masks/murray_darling_basin_mask.nc,data/processed/regions/murray_darling/masks/murray_darling_basin_mask_pixels.csv,-37.775001525878906,-24.025001525878906,138.02499389648438,153.77499389648438,87216,77530,40367,40367,37163,0.5206629691732233,0.47933703082677676,False,0,0,0,0,,0,0,
mediterranean_spain,Mediterranean Spain bounding box,Mediterranean/eastern-southern Spain river basin districts,https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua%3ADemarcaciones_ET/items,"MITECO terrestrial river basin districts; selected Ebro, Catalonia internal basins, Jucar, Segura, Andalusia Mediterranean basins, and Guadalquivir.",data/metadata/miteco/mediterranean_spain_river_basin_districts.geojson,CUENCAS INTERNAS DE CATALUÑA; CUENCAS MEDITERRANEAS ANDALUZAS; EBRO; GUADALQUIVIR; JUCAR; SEGURA,data/processed/regions/mediterranean_spain/chirps_v3_monthly_mediterranean_spain_1991_2026.nc,data/processed/regions/mediterranean_spain/dataset_forecast_mediterranean_spain.parquet,data/processed/regions/mediterranean_spain/masks/mediterranean_spain_basin_mask.nc,data/processed/regions/mediterranean_spain/masks/mediterranean_spain_basin_mask_pixels.csv,36.024993896484375,42.774993896484375,-6.475006103515625,1.4749908447265625,21760,17313,9057,9057,8256,0.5231329059088546,0.47686709409114536,True,7219521,17313,9057,8256,0.5231329059088546,3776769,3442752,0.5231329059088546
