category,scope,region,target,lead_months,model,calibration,n_test_months,bs_reference,bs_model,bss_vs_climatology,bss_ci_low,bss_ci_high,roc_auc_dry,hss,delta_bss,claim_status,headline,notes,source_file
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + soil moisture raw,raw,63,0.06427839150335463,0.10183702749871812,-0.5843120077670789,-1.3560103296483503,-0.2521863075136769,,,,robust_negative,False,ERA5-Land soil-water/root-zone anomaly lags.,outputs/soil_moisture_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + soil moisture selected,selected,63,0.06427839150335463,0.07443511272221977,-0.15801144025726077,-0.3845280871285667,-0.048934553933159514,,,,robust_negative,True,ERA5-Land soil-water/root-zone anomaly lags.,outputs/soil_moisture_xgb_monthly_scores.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target external CPC NMME anomaly forecast,isotonic,62,0.1269486677442054,0.1706097446466008,-0.3439270193080728,-1.228942570806429,0.1005812710540162,,,,not_distinguishable_from_climatology,False,variant=external_operational; best_validation_calibration=nan; spearman=0.171; amplitude_ratio=0.636,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target external CPC NMME anomaly forecast,selected,62,0.1269486677442054,0.1706097446466008,-0.3439270193080728,-1.189541805726863,0.1044599480004773,,,,not_distinguishable_from_climatology,True,variant=external_operational; best_validation_calibration=nan; spearman=0.171; amplitude_ratio=0.636,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target external CPC NMME probability forecast,raw,49,0.1041885231044988,0.1005103048940645,0.0353034873787889,-0.51356174539039,0.2566378525041754,,,,positive_uncertain,False,variant=external_operational; best_validation_calibration=nan; spearman=0.375; amplitude_ratio=0.082,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target external CPC NMME probability forecast,isotonic,49,0.1041885231044988,0.1467632908289492,-0.4086320302452966,-1.716259651408136,0.1692761414299003,,,,not_distinguishable_from_climatology,False,variant=external_operational; best_validation_calibration=nan; spearman=0.361; amplitude_ratio=0.612,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target external CPC NMME probability forecast,selected,49,0.1041885231044988,0.1467632908289492,-0.4086320302452966,-1.7655304396017408,0.1680406997877166,,,,not_distinguishable_from_climatology,True,variant=external_operational; best_validation_calibration=nan; spearman=0.361; amplitude_ratio=0.612,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target lag/climate XGBoost,raw,62,0.1269486677442054,0.1241855062825514,0.0217659744741988,-0.2355642887416694,0.1695291328063126,,,,positive_uncertain,False,variant=lag_climate; best_validation_calibration=platt; spearman=-0.004; amplitude_ratio=0.195; top_features=nino34_lag2; nino34_lag1; month_cos; month_sin; spi6_lag1; spi3_lag1; spi1_lag3; spi1_lag2,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target lag/climate XGBoost,isotonic,62,0.1269486677442054,0.1266480861583575,0.0023677411601789,-0.0559858337595055,0.0520710339073272,,,,positive_uncertain,False,variant=lag_climate; best_validation_calibration=platt; spearman=0.040; amplitude_ratio=0.126; top_features=nino34_lag2; nino34_lag1; month_cos; month_sin; spi6_lag1; spi3_lag1; spi1_lag3; spi1_lag2,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target lag/climate XGBoost,platt,62,0.1269486677442054,0.1219168125657269,0.0396369278062638,-0.0200889133386363,0.0809118011183636,,,,positive_uncertain,False,variant=lag_climate; best_validation_calibration=platt; spearman=0.004; amplitude_ratio=0.076; top_features=nino34_lag2; nino34_lag1; month_cos; month_sin; spi6_lag1; spi3_lag1; spi1_lag3; spi1_lag2,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target lag/climate XGBoost,selected,62,0.1269486677442054,0.1219168125657269,0.0396369278062638,-0.0204470046599093,0.0819334495863394,,,,positive_uncertain,True,variant=lag_climate; best_validation_calibration=platt; spearman=0.004; amplitude_ratio=0.076; top_features=nino34_lag2; nino34_lag1; month_cos; month_sin; spi6_lag1; spi3_lag1; spi1_lag3; spi1_lag2,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target soil-memory XGBoost,raw,62,0.1269486677442054,0.1190068782922198,0.0625590610213239,-0.1921031836742402,0.2012343463582471,,,,positive_uncertain,False,variant=soil_memory; best_validation_calibration=isotonic; spearman=-0.090; amplitude_ratio=0.049; top_features=nino34_lag2; rootzone_sm_anom_lag2; swvl1_anom_lag2; swvl3_anom_lag1; swvl3_anom_lag2; swvl2_anom_lag2; rootzone_sm_anom_lag1; swvl2_anom_lag1,outputs/memory_target_spi6_lead6_summary.csv
