category,scope,region,target,lead_months,model,calibration,n_test_months,bs_reference,bs_model,bss_vs_climatology,bss_ci_low,bss_ci_high,roc_auc_dry,hss,delta_bss,claim_status,headline,notes,source_file
multi_region_selected_checkpoint,multi_region_spi1_lead1,Mediterranean Spain bounding box (country-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,63,0.0494367837890003,0.0482749579456556,0.0235012424817813,-0.1991037434426051,0.304857908720377,0.4800319781877001,,,positive_uncertain,True,Region slug=mediterranean_spain_country_masked; raw BSS=-0.606.,results/multiregion/multiregion_summary.csv
multi_region_selected_checkpoint,multi_region_spi1_lead1,Murray-Darling Basin bounding box (basin-mask sensitivity),SPI-1 dry fraction,1,tabular XGBoost,platt,63,0.0282592148097357,0.0463297042634263,-0.6394547610524957,-1.308198580874294,-0.2784625144252496,0.6305661290201023,,,robust_negative,True,Region slug=murray_darling_basin_masked; raw BSS=-0.696.,results/multiregion/multiregion_summary.csv
multi_region_selected_checkpoint,multi_region_spi1_lead1,Southern Great Plains,SPI-1 dry fraction,1,spatial XGBoost,isotonic,63,0.0477214390856399,0.0516345981285478,-0.0820000217488283,-0.1479039892441277,-0.0018953031791721,0.5103296839014559,,,robust_negative,True,Region slug=southern_great_plains; raw BSS=-0.383.,results/multiregion/multiregion_summary.csv
multi_region_selected_checkpoint,multi_region_spi1_lead1,Southern Great Plains (basin-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,63,0.0560087373856951,0.0554415548090729,0.0101266802841194,-0.0977650760252542,0.1502212327158114,0.5670026762040379,,,positive_uncertain,True,Region slug=southern_great_plains_basin_masked; raw BSS=-0.159.,results/multiregion/multiregion_summary.csv
operational_dynamical_benchmark,operational_spi1_lead1_nmme_anomaly,California Central Valley,SPI-1 dry fraction,1,CPC NMME anomaly forecast selected,selected,63,0.06427839150335463,0.06411919603078431,0.0024766561335314297,-0.4375136516117086,0.23891269831828868,,,,positive_uncertain,True,CPC NMME precipitation-anomaly forecast mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_ENSMEAN.,outputs/operational_precip_benchmark_monthly_scores.csv
operational_dynamical_benchmark,operational_spi1_lead1_nmme_probability,California Central Valley,SPI-1 dry fraction,1,CPC NMME probability forecast selected,selected,52,0.07725413415740696,0.06710286289153658,0.13140101014124306,-0.30397865023843423,0.3378811510712059,,,,positive_uncertain,True,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi1_lead1_monthly_scores.csv
operational_dynamical_benchmark,operational_spi1_lead1_nmme_probability,California Central Valley,SPI-1 dry fraction,1,CPC NMME probability forecast raw,raw,52,0.07725413415740696,0.09640857858037642,-0.24794070416920166,-1.222715149229712,0.0946098960824396,,,,not_distinguishable_from_climatology,True,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi1_lead1_monthly_scores.csv
operational_dynamical_benchmark,operational_spi3_lead3_nmme_anomaly,California Central Valley,SPI-3 dry fraction,3,CPC NMME anomaly forecast selected,selected,59,0.08764639097130043,0.08012611053309211,0.08580251114584758,-0.22466734614885087,0.2611916184681341,,,,positive_uncertain,True,CPC NMME precipitation-anomaly forecast mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_ENSMEAN.,outputs/operational_nmme_cpc_spi3_lead3_monthly_scores.csv
operational_dynamical_benchmark,operational_spi3_lead3_nmme_probability,California Central Valley,SPI-3 dry fraction,3,CPC NMME probability forecast raw,raw,51,0.09499702803131554,0.09434035723570418,0.00691254041542122,-0.5487199956676402,0.2429389671433061,,,,positive_uncertain,True,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi3_lead3_monthly_scores.csv
operational_dynamical_benchmark,operational_spi3_lead3_nmme_probability,California Central Valley,SPI-3 dry fraction,3,CPC NMME probability forecast selected,selected,51,0.09499702803131554,0.11510943263056339,-0.2117161454000207,-1.1475935214809891,0.17625509639789405,,,,not_distinguishable_from_climatology,True,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi3_lead3_monthly_scores.csv
operational_dynamical_benchmark,operational_spi6_lead6_nmme_anomaly,California Central Valley,SPI-6 dry fraction,6,CPC NMME anomaly forecast selected,selected,62,0.1269486677442054,0.17060974464660086,-0.3439270193080728,-1.1300287199472723,0.11271649783966924,,,,not_distinguishable_from_climatology,True,CPC NMME precipitation-anomaly forecast mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_ENSMEAN.,outputs/operational_nmme_cpc_spi6_lead6_monthly_scores.csv
operational_dynamical_benchmark,operational_spi6_lead6_nmme_probability,California Central Valley,SPI-6 dry fraction,6,CPC NMME probability forecast raw,raw,49,0.10418852310449889,0.10051030489406455,0.03530348737878897,-0.4299273073279179,0.25455327882630835,,,,positive_uncertain,True,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi6_lead6_monthly_scores.csv
operational_dynamical_benchmark,operational_spi6_lead6_nmme_probability,California Central Valley,SPI-6 dry fraction,6,CPC NMME probability forecast selected,selected,49,0.10418852310449889,0.14676329082894926,-0.4086320302452966,-1.693179669868499,0.16289365731161412,,,,not_distinguishable_from_climatology,True,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi6_lead6_monthly_scores.csv
