target_time,y_true_dry_frac,pred_prob_dry,clim_prob_dry,n_pixels,scenario,selected_calibration
2025-08-01,0.0,0.07982735,0.06350612991352644,6814,strict_spi1_chrono,isotonic
2025-09-01,0.0,0.072429836,0.06587681470276129,6814,strict_spi1_chrono,isotonic
2025-10-01,0.013501614323451717,0.16485009,0.1448827075478088,6814,strict_spi1_chrono,isotonic
2025-11-01,0.023474178403755867,0.1627998,0.18200952509931384,6816,strict_spi1_chrono,isotonic
2025-12-01,0.0,0.17060824,0.15560671722643557,6816,strict_spi1_chrono,isotonic
2026-01-01,0.05472417840375587,0.019098401,0.17397887323943662,6816,strict_spi1_chrono,isotonic
2026-02-01,0.0,0.16017444,0.1362030516431925,6816,strict_spi1_chrono,isotonic
2026-03-01,0.5824530516431925,0.1694091,0.2055281690140845,6816,strict_spi1_chrono,isotonic
1991-07-01,0.15911282545805208,0.12466142,0.009249053529496334,1037,random_spi1_rows,isotonic
1991-08-01,0.39712918660287083,0.2738464,0.05130344984930175,1045,random_spi1_rows,isotonic
1991-09-01,0.5996055226824457,0.5911942,0.05656632088726794,1014,random_spi1_rows,isotonic
1991-10-01,0.06970260223048327,0.028155765,0.19524203112085384,1076,random_spi1_rows,isotonic
1991-11-01,0.5223880597014925,0.5151701,0.167907539953722,1005,random_spi1_rows,isotonic
1991-12-01,0.0,4.6778652e-05,0.14229303402516438,1014,random_spi1_rows,isotonic
1992-01-01,0.10076045627376426,0.08533723,0.18099466182576343,1052,random_spi1_rows,isotonic
1992-02-01,0.0,8.871015e-05,0.19317394731185364,1020,random_spi1_rows,isotonic
1992-03-01,0.016585365853658537,0.0069897776,0.18959800953265984,1025,random_spi1_rows,isotonic
1992-04-01,0.40828402366863903,0.43335542,0.20948455894583157,1014,random_spi1_rows,isotonic
1992-05-01,0.530060120240481,0.545884,0.17964827989774862,998,random_spi1_rows,isotonic
1992-06-01,0.0020429009193054137,0.001145331,0.10655945256578907,979,random_spi1_rows,isotonic
1992-07-01,0.11465603190428714,0.06772238,0.009249053529496334,1003,random_spi1_rows,isotonic
1992-08-01,0.0010504201680672268,0.0004082028,0.05130344984930175,952,random_spi1_rows,isotonic
1992-09-01,0.06380857427716849,0.04964169,0.05656632088726794,1003,random_spi1_rows,isotonic
1992-10-01,0.02081268582755203,0.0063237776,0.19524203112085384,1009,random_spi1_rows,isotonic
1992-11-01,0.7443682664054848,0.75576043,0.167907539953722,1021,random_spi1_rows,isotonic
1992-12-01,0.012409513960703205,0.011627446,0.14229303402516438,967,random_spi1_rows,isotonic
1993-01-01,0.0019801980198019802,0.0021858215,0.18099466182576343,1010,random_spi1_rows,isotonic
1993-02-01,0.004591368227731864,0.0026515254,0.19317394731185364,1089,random_spi1_rows,isotonic
1993-03-01,0.0,0.0006441446,0.18959800953265984,1031,random_spi1_rows,isotonic
1993-04-01,0.10354477611940298,0.10005998,0.20948455894583157,1072,random_spi1_rows,isotonic
1993-05-01,0.04018264840182648,0.016345931,0.17964827989774862,1095,random_spi1_rows,isotonic
1993-06-01,0.004761904761904762,0.0005189837,0.10655945256578907,1050,random_spi1_rows,isotonic
1993-07-01,0.003036437246963563,0.0004459912,0.009249053529496334,988,random_spi1_rows,isotonic
1993-08-01,0.05353728489483748,0.041042045,0.05130344984930175,1046,random_spi1_rows,isotonic
1993-09-01,0.16505791505791506,0.15354253,0.05656632088726794,1036,random_spi1_rows,isotonic
1993-10-01,0.011560693641618497,0.009196685,0.19524203112085384,1038,random_spi1_rows,isotonic
1993-11-01,0.03602726387536514,0.026117343,0.167907539953722,1027,random_spi1_rows,isotonic
