feature,mean_abs_shap,dry_mean_abs_shap
nino34_lag1,0.2626371,0.19636115
nino34_lag2,0.17120506,0.19624303
month_sin,0.13457301,0.19960813
month_cos,0.068310715,0.1240314
pr_lag1,0.054385927,0.06138348
spi1_lag1,0.046002008,0.06207867
spi6_lag1,0.03878376,0.054245807
spi1_lag3,0.034501057,0.022606611
spi3_lag1,0.030976439,0.025860542
pr_lag3,0.020841528,0.015664723
spi1_lag2,0.018735116,0.024813658
pr_lag2,0.01733135,0.016775422
