forecast,bs,bss,bss_ci_low,bss_ci_high,bss_vs_persistence_raw,bss_vs_persistence_selected
cfsv2_raw_isotonic,0.05122951094130725,0.262335071809664,0.05726713976526038,0.4316014781713147,-1.4166967871471536,-1.2351248862954645
cfsv2_anom_isotonic,0.04074711457356338,0.41327338884207543,-0.009529013192949526,0.6273089955207575,-0.922201072508126,-0.777781754201148
cfsv2_selected,0.04074711457356338,0.41327338884207543,0.010424036196227398,0.6333419176794604,-0.922201072508126,-0.777781754201148
persistence_raw,0.021198154114228922,0.6947631444236205,0.41343967076498883,0.8507406639617475,0.0,0.07513226393039973
persistence_isotonic,0.022920200681142228,0.6699670194210245,0.4802283008956123,0.7773985664004592,-0.08123568484471999,0.0
persistence_selected,0.022920200681142228,0.6699670194210245,0.48705946923948173,0.7820393961611611,-0.08123568484471999,0.0
