Forecaster,BS_dry,BSS_dry,BSS_dry_95CI,HSS,HSS_95CI,ROC-AUC_dry
Climatological baseline,0.0643,0.0000 (ref),—,0.0000,"[0.0000, 0.0000]",—
Persistence baseline,0.1018,-0.5836,"[-1.5913, 0.0150]",0.0833,"[-0.1330, 0.2984]",0.5057
SPI-1 threshold baseline,0.0960,-0.4937,"[-1.3286, 0.0306]",0.0833,"[-0.1162, 0.3000]",0.5091
XGBoost (no spatial),0.0836,-0.3011,"[-1.1434, 0.0790]",0.1391,"[-0.0288, 0.2984]",0.7227
XGBoost-Spatial,0.0667,-0.0375,"[-0.1073, 0.0120]",0.0000,"[0.0000, 0.0000]",0.6955
ConvLSTM,0.1023,-0.5911,"[-1.7591, -0.1239]",0.0589,"[-0.0995, 0.2289]",0.4136
Logistic Regression,0.0895,-0.3920,"[-1.6319, 0.0807]",0.1516,"[0.0180, 0.2898]",0.8000
Random Forest,0.0807,-0.2552,"[-0.7173, -0.0108]",0.0992,"[-0.0992, 0.3445]",0.6068
