target_time,y_true_dry_frac,xgb_raw_prob_dry,xgb_isotonic_prob_dry,xgb_platt_prob_dry,xgb_selected_prob_dry,clim_prob_dry
2021-01-01,0.0029342723004694834,0.19213095,0.13100521,0.1324424275816472,0.13100521,0.17397887323943662
2021-02-01,0.4552523474178404,0.17087379,0.13085674,0.12952822651397677,0.13085674,0.1362030516431925
2021-03-01,0.20862676056338028,0.21747386,0.13101907,0.13597289534302356,0.13101907,0.2055281690140845
2021-04-01,0.8428697183098591,0.38165355,0.18874598,0.16099619629721157,0.18874598,0.1826056338028169
2021-05-01,0.45129107981220656,0.53204304,0.21992217,0.18670386026652025,0.21992217,0.17590962441314553
2021-06-01,0.3528462441314554,0.24935584,0.13622777,0.14067830786007005,0.13622777,0.1045950704225352
2021-07-01,0.0013204225352112676,0.097370856,0.0515694,0.11991575003353222,0.0515694,0.011838660166124955
2021-08-01,0.055474024068095096,0.10324918,0.060071874,0.12069502645895669,0.060071874,0.06350612991352644
2021-09-01,0.02597593190490167,0.12967874,0.08108918,0.1241794910234789,0.08108918,0.06587681470276129
2021-10-01,0.0,0.13800173,0.11945821,0.12516872796478068,0.11945821,0.1448827075478088
2021-11-01,0.08832159624413145,0.40658072,0.20767984,0.16503876125348727,0.20767984,0.18200952509931384
2021-12-01,0.0,0.36783445,0.19133084,0.1585822537556561,0.19133084,0.15560671722643557
2022-01-01,0.9843016431924883,0.13432273,0.12351075,0.12465698445745078,0.12351075,0.17397887323943662
2022-02-01,0.9765258215962441,0.24012245,0.13131812,0.13922663739052288,0.13131812,0.1362030516431925
2022-03-01,0.5133509389671361,0.24551286,0.13148677,0.13999345155738718,0.13148677,0.2055281690140845
2022-04-01,0.2935739436619718,0.47198528,0.2167792,0.17617223064461315,0.2167792,0.1826056338028169
2022-05-01,0.562206572769953,0.42702466,0.1990041,0.1686552237904073,0.1990041,0.17590962441314553
2022-06-01,0.013791079812206572,0.34776157,0.1616664,0.15612852830772989,0.1616664,0.1045950704225352
2022-07-01,0.0036678403755868545,0.1911889,0.12649271,0.13254105067884078,0.12649271,0.011838660166124955
2022-08-01,0.000146756677428823,0.1388652,0.086890206,0.12563829183324124,0.086890206,0.06350612991352644
2022-09-01,0.0007337833871441151,0.15735567,0.123726204,0.12775335182776595,0.123726204,0.06587681470276129
