target_time,y_true_dry_frac,clim_prob_dry,lag_climate_raw_prob_dry,lag_climate_isotonic_prob_dry,lag_climate_platt_prob_dry,lag_climate_selected_prob_dry,lag_climate_persistence_prob_dry,soil_memory_raw_prob_dry,soil_memory_isotonic_prob_dry,soil_memory_platt_prob_dry,soil_memory_selected_prob_dry,soil_memory_persistence_prob_dry
2021-01-01,0.3911065453478133,0.16949809216319342,0.4145868,0.20376097,0.1665370746530449,0.1665370746530449,0.5785148224244203,0.35499707,0.2946037,0.2099282805288389,0.2946037,0.5785148224244203
2021-02-01,0.7770766069856179,0.1422307014969181,0.34446317,0.20376097,0.1912931458493505,0.1912931458493505,0.06310537129439389,0.34693512,0.2351891,0.20640398549612002,0.2351891,0.06310537129439389
2021-03-01,0.8547108893454652,0.1637745817434693,0.32018217,0.20375502,0.20067743178418013,0.20067743178418013,0.034047549163486936,0.31463313,0.13632719,0.19282163274409111,0.13632719,0.034047549163486936
2021-04-01,0.9245892018779343,0.18570422535211267,0.3562782,0.20376097,0.1868443223871284,0.1868443223871284,0.400674882629108,0.31006148,0.1338429,0.1909576301782654,0.1338429,0.400674882629108
2021-05-01,0.835093896713615,0.2029577464788732,0.3190825,0.20374909,0.20110006261580746,0.20110006261580746,0.8022300469483568,0.3150544,0.13733236,0.1930073217400954,0.13733236,0.8022300469483568
2021-06-01,0.5944835680751174,0.16487676056338027,0.25011855,0.19628768,0.22976610456422697,0.22976610456422697,0.8273180751173709,0.3313714,0.2351891,0.19977372718057565,0.2351891,0.8273180751173709
2021-07-01,0.971830985915493,0.18375586854460094,0.25715464,0.19489937,0.22665619061855247,0.22665619061855247,0.3909917840375587,0.34587073,0.2351891,0.20595096990127115,0.2351891,0.3909917840375587
2021-08-01,0.8418427230046949,0.1945070422535211,0.27567533,0.19658388,0.2187788898014415,0.2187788898014415,0.7771420187793427,0.3406019,0.2351891,0.20371026422511085,0.2351891,0.7771420187793427
2021-09-01,0.931924882629108,0.17824530516431927,0.33460817,0.20325363,0.19515640699378475,0.19515640699378475,0.8547535211267606,0.3314963,0.21414147,0.19985936737360943,0.21414147,0.8547535211267606
2021-10-01,0.0,0.14584507042253522,0.3205194,0.20336056,0.20057025323860664,0.20057025323860664,0.9245892018779343,0.3499493,0.2351891,0.20770472624365985,0.2351891,0.9245892018779343
2021-11-01,0.0,0.12301056338028168,0.38753432,0.20376097,0.17559072780936744,0.17559072780936744,0.835093896713615,0.3531267,0.2351891,0.2090951653509532,0.2351891,0.835093896713615
2021-12-01,0.0,0.14687161430119178,0.33620268,0.2016746,0.19526453813798691,0.19526453813798691,0.5944835680751174,0.35271528,0.2351891,0.20897975111823802,0.2351891,0.5944835680751174
2022-01-01,0.003228646903434106,0.16949809216319342,0.4834385,0.20376097,0.14398969816460305,0.14398969816460305,0.971822717933666,0.37372047,0.8487033,0.21819624265571147,0.8487033,0.971822717933666
2022-02-01,0.1485177575579689,0.1422307014969181,0.4232813,0.20376097,0.16311046307350438,0.16311046307350438,0.8417963017317288,0.3350855,0.2351891,0.20134946447032714,0.2351891,0.8417963017317288
2022-03-01,0.3903727619606692,0.1637745817434693,0.36241925,0.20376097,0.18453536032156653,0.18453536032156653,0.9319049016730261,0.34352785,0.2351891,0.20494172466684432,0.2351891,0.9319049016730261
2022-04-01,0.9411678403755869,0.18570422535211267,0.3757906,0.20376097,0.17976216908623224,0.17976216908623224,0.0,0.31738758,0.13518389,0.1939518789470993,0.13518389,0.0
