target_time,y_true_dry_frac,xgb_raw_prob_dry,xgb_isotonic_prob_dry,xgb_platt_prob_dry,xgb_selected_prob_dry,clim_prob_dry
2021-01-01,0.010509721492380452,0.16992125,0.17076105,0.11390135409067335,0.17076105,0.16399369416710458
2021-02-01,0.5433526011560693,0.19019024,0.14788504,0.11938468017692719,0.14788504,0.12943772990015764
2021-03-01,0.30951129795060434,0.30089542,0.17901337,0.15024543023575937,0.17901337,0.19251707829742512
2021-04-01,0.8344718864950079,0.46006495,0.18069729,0.2038732535426628,0.18069729,0.19272727272727272
2021-05-01,0.4687335785601682,0.43928978,0.18066561,0.19760798244337116,0.18066561,0.16
2021-06-01,0.37992643194955333,0.22472161,0.14184768,0.12966025880370818,0.14184768,0.09683657383079348
2021-07-01,0.0,0.095218845,0.04027291,0.09722444916637712,0.04027291,0.019362140749423988
2021-08-01,0.0005254860746190226,0.054198846,0.0053869192,0.08890500947637701,0.0053869192,0.05129552528396459
2021-09-01,0.0,0.066942774,0.0038472507,0.09132043891177338,0.0038472507,0.0324184486034197
2021-10-01,0.0,0.15820222,0.14572988,0.11111443246005816,0.14572988,0.17735155018392013
2021-11-01,0.013137151865475564,0.3750806,0.18069729,0.17259051123430005,0.18069729,0.1640931323012248
2021-12-01,0.0,0.36217022,0.18069729,0.1688261563927254,0.18069729,0.14153765309834673
2022-01-01,0.9721492380451918,0.14088343,0.17632438,0.10689712788129875,0.17632438,0.16399369416710458
2022-02-01,0.9868628481345244,0.33475587,0.18058623,0.1594263551456837,0.18058623,0.12943772990015764
2022-03-01,0.4025223331581713,0.25724113,0.12121421,0.14006185607038604,0.12121421,0.19251707829742512
2022-04-01,0.4209143457698371,0.30935556,0.18004698,0.151712165364725,0.18004698,0.19272727272727272
2022-05-01,0.4303730951129795,0.35060924,0.17784628,0.16609393794254224,0.17784628,0.16
2022-06-01,0.0031529164477141357,0.25142324,0.12497935,0.1395463138380328,0.12497935,0.09683657383079348
2022-07-01,0.0,0.1426584,0.11051005,0.10799733455930687,0.11051005,0.019362140749423988
2022-08-01,0.0005254860746190226,0.060607888,0.0005346049,0.09005924848864053,0.0005346049,0.05129552528396459
2022-09-01,0.0,0.09262668,0.025741978,0.09657651700564182,0.025741978,0.0324184486034197
2022-10-01,0.41986337362059906,0.27418756,0.18069729,0.14158416091373158,0.18069729,0.17735155018392013
2022-11-01,0.20546505517603783,0.48756838,0.18069729,0.21517961611689876,0.18069729,0.1640931323012248
2022-12-01,0.0,0.42652842,0.15454988,0.19688323203310315,0.15454988,0.14153765309834673
2023-01-01,0.0,0.19897585,0.17530206,0.12124584850280823,0.17530206,0.16399369416710458
2023-02-01,0.0,0.30037987,0.18020436,0.15033911229318955,0.18020436,0.12943772990015764
2023-03-01,0.0,0.26602748,0.18069729,0.13880119618045567,0.18069729,0.19251707829742512
2023-04-01,0.7566999474513926,0.5958645,0.18069729,0.260259412822081,0.18069729,0.19272727272727272
2023-05-01,0.3983184445612191,0.4368809,0.18069729,0.19484622240580224,0.18069729,0.16
2023-06-01,0.0005254860746190226,0.13670161,0.12818174,0.10612969975891275,0.12818174,0.09683657383079348
2023-07-01,0.0,0.16444954,0.16644491,0.1125585891089408,0.16644491,0.019362140749423988
2023-08-01,0.0,0.26862904,0.18069729,0.1414298992267788,0.18069729,0.05129552528396459
2023-09-01,0.0015764582238570678,0.18381809,0.16909833,0.11753594910104811,0.16909833,0.0324184486034197
2023-10-01,0.4555964266946926,0.27575335,0.13967097,0.1468564978253599,0.13967097,0.17735155018392013
2023-11-01,0.35260115606936415,0.06943151,0.007036216,0.09183732185551453,0.007036216,0.1640931323012248
2023-12-01,0.0,0.05691993,0.00044879847,0.08934727377470936,0.00044879847,0.14153765309834673
2024-01-01,0.0,0.06825196,0.001746597,0.09154776475862013,0.001746597,0.16399369416710458
2024-02-01,0.0,0.08725987,0.030037405,0.09588676821088717,0.030037405,0.12943772990015764
2024-03-01,0.11192853389385181,0.081581414,0.009749117,0.09423937651468477,0.009749117,0.19251707829742512
2024-04-01,0.26852338413032056,0.4108225,0.18057665,0.18724357424246835,0.18057665,0.19272727272727272
2024-05-01,0.0010509721492380452,0.12136479,0.07812922,0.10264691823686778,0.07812922,0.16
2024-06-01,0.0010509721492380452,0.17148678,0.13402672,0.11491504806766735,0.13402672,0.09683657383079348
2024-07-01,0.0,0.11335341,0.07252264,0.10095190629826957,0.07252264,0.019362140749423988
2024-08-01,0.0,0.059101094,0.0,0.08974900370417783,0.0,0.05129552528396459
