target_time,y_true_dry_frac,xgb_raw_prob_dry,xgb_isotonic_prob_dry,xgb_platt_prob_dry,xgb_selected_prob_dry,clim_prob_dry
2021-01-01,0.009671890303623898,0.40750733,0.23801363,0.23408319605839126,0.23801363,0.14529138099902056
2021-02-01,0.0,0.28051895,0.1298816,0.1302857574090973,0.1298816,0.15190744368266407
2021-03-01,0.05527668952007835,0.27877456,0.13100576,0.12961880496708825,0.13100576,0.16410137120470128
2021-04-01,0.0009182174338883448,0.41334596,0.30197617,0.23936114380676668,0.30197617,0.15288442703232125
2021-05-01,0.06329578844270323,0.33583727,0.1409099,0.16994932288320685,0.1409099,0.1273775710088149
2021-06-01,0.002448579823702253,0.35950086,0.14672409,0.1885211986853865,0.14672409,0.12395690499510284
2021-07-01,0.2965230166503428,0.34932125,0.14556406,0.18027669961618273,0.14556406,0.1430253145483312
2021-08-01,0.10088148873653281,0.34417102,0.14455806,0.17568161456710307,0.14455806,0.14095108490921418
2021-09-01,0.00018364348677766894,0.36538243,0.14494029,0.19374026003623632,0.14494029,0.1445156520756423
2021-10-01,0.144588638589618,0.36364526,0.1448801,0.1923522407986433,0.1448801,0.12181213742183379
2021-11-01,0.4262365328109696,0.2799018,0.12923282,0.12946600432273267,0.12923282,0.16642573269042418
2021-12-01,0.12689764936336925,0.23633674,0.12891786,0.10440944682192806,0.12891786,0.15197204851955096
2022-01-01,0.8118266405484819,0.23741685,0.12705754,0.10512066638493987,0.12705754,0.14529138099902056
2022-02-01,0.20953721841332026,0.41431308,0.2764465,0.24076701560291888,0.2764465,0.15190744368266407
2022-03-01,0.0,0.2825241,0.12991765,0.13139236836579685,0.12991765,0.16410137120470128
2022-04-01,0.011447110675808031,0.2094043,0.12710157,0.09080269124978482,0.12710157,0.15288442703232125
2022-05-01,0.4738001958863859,0.26864165,0.12892596,0.12242306421850728,0.12892596,0.1273775710088149
2022-06-01,0.2485920666013712,0.29847664,0.13061807,0.14161897559156136,0.13061807,0.12395690499510284
2022-07-01,0.2569784524975514,0.41826627,0.3026737,0.24442596106240258,0.3026737,0.1430253145483312
2022-08-01,0.014752693437806072,0.42697844,0.3197224,0.2535283883999995,0.3197224,0.14095108490921418
2022-09-01,0.004468658178256611,0.29076964,0.12957475,0.1364637864823219,0.12957475,0.1445156520756423
2022-10-01,0.033606758080313416,0.24419546,0.128925,0.10862252321123861,0.128925,0.12181213742183379
2022-11-01,0.10198334965719882,0.29795432,0.13375577,0.14172724386818525,0.13375577,0.16642573269042418
2022-12-01,0.0,0.32177475,0.13804688,0.15875312945886283,0.13804688,0.15197204851955096
2023-01-01,0.2667727717923604,0.25004503,0.12899415,0.11205526248989557,0.12899415,0.14529138099902056
2023-02-01,0.2962781586679726,0.39662474,0.19783258,0.22283382290875314,0.19783258,0.15190744368266407
2023-03-01,0.3079701273261508,0.4263096,0.3023602,0.2538498513183402,0.3023602,0.16410137120470128
2023-04-01,0.7748530852105778,0.31917816,0.14036341,0.15625010922122068,0.14036341,0.15288442703232125
2023-05-01,0.13583496571988246,0.4295196,0.32591414,0.25618934809338134,0.32591414,0.1273775710088149
2023-06-01,0.00018364348677766894,0.2922254,0.13433637,0.13821536099774825,0.13433637,0.12395690499510284
2023-07-01,0.2650587659157689,0.3346835,0.14718153,0.17095185368186125,0.14718153,0.1430253145483312
2023-08-01,0.3660014691478942,0.22150728,0.128925,0.09654194733147987,0.128925,0.14095108490921418
2023-09-01,0.0031831537708129284,0.19377548,0.030905962,0.08375770617699906,0.030905962,0.1445156520756423
2023-10-01,0.0036116552399608226,0.17786375,0.04259186,0.07790027687465838,0.04259186,0.12181213742183379
2023-11-01,0.7245347698334965,0.21027799,0.10543781,0.0915046171553818,0.10543781,0.16642573269042418
2023-12-01,0.01677277179236043,0.22517385,0.12899028,0.09841480755141083,0.12899028,0.15197204851955096
2024-01-01,0.0,0.364505,0.14396383,0.19358694807984064,0.14396383,0.14529138099902056
2024-02-01,0.0,0.35796678,0.14368555,0.18769273063295933,0.14368555,0.15190744368266407
