stratifier,group,n_months,bss_xgb,bss_xgb_95CI,bss_xgb_calibrated,bss_xgb_calibrated_95CI,bss_persistence,bss_persistence_95CI,bss_spi_threshold,bss_spi_threshold_95CI,bss_xgb_spatial,bss_xgb_spatial_95CI,bss_xgb_spatial_calibrated,bss_xgb_spatial_calibrated_95CI,bss_logreg,bss_logreg_95CI,bss_rf,bss_rf_95CI,bss_convlstm,bss_convlstm_95CI
season,DJF,17,-0.22821292865350684,"[-1.7789, 0.1166]",-0.020150707006063806,"[-0.1504, 0.1448]",-0.263332190635738,"[-1.9178, 0.6590]",-0.18429179141054997,"[-1.5412, 0.5248]",-0.15589866396191265,"[-1.3224, 0.2579]",0.048783639891891606,"[-0.0068, 0.2280]",-0.3532874916163673,"[-4.2545, 0.3031]",-0.14132902410094883,"[-1.1104, 0.0832]",-0.13359109159376992,"[-2.3093, 0.2439]"
season,JJA,15,-4.646271021409606,"[-18.7375, -0.9762]",-0.9468293949606441,"[-4.5367, -0.0517]",-3.719726491581781,"[-21.2465, 0.5328]",-5.136224740512907,"[-22.7621, -0.6123]",-2.685773391155308,"[-11.9030, -0.3067]",-0.8476993515168387,"[-4.9588, 0.0061]",-5.240116529009866,"[-20.6387, -1.2147]",-0.9002379689690649,"[-4.6572, 0.1552]",-6.767722294268275,"[-27.8942, -1.9392]"
season,MAM,16,0.39721751382416937,"[-0.3775, 0.6729]",0.023151809612427687,"[-0.1222, 0.2616]",-0.745748442593708,"[-2.1740, -0.1692]",-0.4014972214101815,"[-1.6461, 0.1886]",0.44732252561647023,"[-0.2810, 0.6793]",-0.01197875784338076,"[-0.1246, 0.1947]",0.20701799111635932,"[-0.8685, 0.5697]",0.20601726047358504,"[0.0003, 0.5674]",0.1776446030016876,"[-0.3642, 0.4249]"
season,SON,15,-2.115672773163025,"[-6.3776, -0.2713]",-0.48883622447612507,"[-1.9500, 0.1265]",-1.1918181676082802,"[-2.5749, 0.0913]",-1.6468869027785806,"[-3.7685, -0.5444]",-1.4711783717888918,"[-4.1602, -0.2471]",0.05706739089934787,"[-0.2546, 0.2314]",-1.6565116994064182,"[-4.4669, -0.3581]",-0.4602989978988006,"[-1.7815, 0.2323]",-2.236481895193615,"[-6.5393, -0.3798]"
