run_slug,model,zone,selected_calibration,n_test_months,mean_test_pixels_per_month,n_train_pixels_for_climatology,obs_dry_mean,pred_selected_dry_mean,pred_raw_dry_mean,zone_clim_dry_mean,selected_bias,raw_bias,selected_corr,raw_corr,selected_amplitude_ratio,raw_amplitude_ratio,selected_bs,raw_bs,zone_clim_bs,selected_bss_vs_zone_climatology,raw_bss_vs_zone_climatology,months_obs_dry_frac_ge_0_25,months_obs_dry_frac_ge_0_50
cvalley,spatial,0,isotonic,63,1979.7619047619048,3177510.0,0.18573072820167313,0.13967107379766813,0.27022722586839026,0.13982736693870262,-0.04605965440400501,0.08449649766671716,0.2570432202679102,0.32935824545059894,0.21146093277288858,0.48239071523518223,0.09245872586318796,0.09544388963433816,0.08972992201136475,-0.030411303059837635,-0.06367962319469878,17,11
cvalley,spatial,1,isotonic,63,2157.7619047619046,3463200.0,0.158106570434603,0.13287838074629404,0.2668375149189492,0.12083927081659748,-0.02522818968830895,0.10873094448434621,0.34578889017466896,0.32687238850146705,0.2237685679855049,0.5699854117614597,0.07007753407102792,0.08567971752584244,0.06771917221738048,-0.03482561550039365,-0.26522098130213534,11,8
cvalley,spatial,2,isotonic,63,972.0,1560060.0,0.15905676399503557,0.14443829296842994,0.2900205591508096,0.12719586768969485,-0.014618471026605625,0.13096379515577394,0.09764891608994235,0.1787182399800708,0.2136181807887612,0.633284368825358,0.05954770339162225,0.08657887759648966,0.05345405669625945,-0.11399783425210486,-0.6196876897193133,16,7
cvalley,spatial,3,isotonic,63,1706.0,2738130.0,0.18656841400100485,0.14310284153235683,0.2770764983917821,0.15323944649853208,-0.04346557246864807,0.09050808439077723,0.2614249657127532,0.27064328041919483,0.16539461087338694,0.44558523658744537,0.09592468484220705,0.10387403220408144,0.09460441544880203,-0.01395568470183628,-0.09798291878137477,15,11
cvalley,tabular,0,isotonic,63,1979.7619047619048,3177510.0,0.18573072820167313,0.1450208337659486,0.2546915562327359,0.13982736693870262,-0.04070989443572454,0.06896082803106282,0.19375137599570133,0.2818587697225256,0.280474894844951,0.5052351673264933,0.09527355966517902,0.09841734443495255,0.08972992201136475,-0.061781371582069866,-0.0968174520700853,17,11
cvalley,tabular,1,isotonic,63,2157.7619047619046,3463200.0,0.158106570434603,0.1386411948055849,0.2506016762065418,0.12083927081659748,-0.019465375629018098,0.09249510577193877,0.24575715173681378,0.2917630192712887,0.3210894783843115,0.5881331999156882,0.07369483011912595,0.08632564943335748,0.06771917221738048,-0.08824174463567624,-0.27475937178100285,11,8
cvalley,tabular,2,isotonic,63,972.0,1560060.0,0.15905676399503557,0.15878637156175077,0.27295351596385514,0.12719586768969485,-0.0002703924332848536,0.11389675196881945,0.15416505063188454,0.15789340250259348,0.4039833270516084,0.6557474908273,0.06138663969444883,0.08525084063320951,0.05345405669625945,-0.14840001841702088,-0.5948432336506855,16,7
cvalley,tabular,3,isotonic,63,1706.0,2738130.0,0.18656841400100485,0.14675405059524174,0.2616561102577416,0.15323944649853208,-0.03981436340576309,0.07508769625673678,0.22979572253383707,0.2526727260351042,0.200917826437852,0.4645902265997406,0.09633511807921326,0.103690021045374,0.09460441544880203,-0.018294099933928054,-0.096037859897659,15,11
cvalley_basin_masked,spatial,0,isotonic,63,588.0,943740.0,0.17168772270813085,0.13218872483250582,0.2597324996741162,0.12160661334130722,-0.03949899787562506,0.08804477696598538,0.32233068203457027,0.33056752215615337,0.24664892708447309,0.5022625489200855,0.07865711993443737,0.0864195827124492,0.07558275686971236,-0.04067545551460272,-0.14337695913126192,16,10
cvalley_basin_masked,spatial,1,isotonic,63,392.0,629160.0,0.19476838354389372,0.14264446996338845,0.26592659959970827,0.13475804241110365,-0.05212391358050528,0.07115821605581447,0.2591146568905905,0.34991267199890325,0.21242479491751004,0.442393992334014,0.10507236169811514,0.1020632369483481,0.1040402107944402,-0.00992069216117053,0.01900201692207404,17,12
cvalley_basin_masked,spatial,2,isotonic,63,478.0,767190.0,0.1679617453676031,0.12195634537166256,0.24846948882243386,0.11494791586841797,-0.04600539999594054,0.0805077434548308,0.38306662288234694,0.4195853040325184,0.25373040664734475,0.4793520587172294,0.07675126434821812,0.07747304305576251,0.07428612168908058,-0.033184430726579395,-0.04290062927259242,16,11
cvalley_basin_masked,spatial,3,isotonic,63,445.0,714225.0,0.19461387551275192,0.13788276405853706,0.2648665143441013,0.14653770698714522,-0.05673111145421485,0.0702526388313493,0.2868585812633788,0.34604348630003345,0.21408412003081045,0.4579618618085378,0.09840212398584834,0.09700185879261783,0.09671040323267402,-0.01749264501673342,-0.003013693979153409,17,12
cvalley_basin_masked,tabular,0,isotonic,63,588.0,943740.0,0.17168772270813085,0.1268323959939147,0.24495575592970087,0.12160661334130722,-0.04485532671421619,0.07326803322156997,0.34649274867932967,0.35741634619834173,0.25081165443388315,0.5121469768034883,0.07802041201523001,0.08198337528822748,0.07558275686971236,-0.0322514717175455,-0.0846835797422465,16,10
cvalley_basin_masked,tabular,1,isotonic,63,392.0,629160.0,0.19476838354389372,0.13583570904189043,0.2513899964986084,0.13475804241110365,-0.05893267450200329,0.05662161295471462,0.29137555633448725,0.3479423566699274,0.19941212351832693,0.4559981484770294,0.1045716278975564,0.10069816018795251,0.1040402107944402,-0.005107804944437966,0.03212268199927837,17,12
cvalley_basin_masked,tabular,2,isotonic,63,478.0,767190.0,0.1679617453676031,0.11691201069554505,0.23678165460222506,0.11494791586841797,-0.05104973467205806,0.06881990923462196,0.3988380808747394,0.38018061032843437,0.259136072990268,0.49901605592374393,0.07642216673336873,0.07933635307512713,0.07428612168908058,-0.028754294822772142,-0.0679835112025895,16,11
cvalley_basin_masked,tabular,3,isotonic,63,445.0,714225.0,0.19461387551275192,0.1329295731941288,0.249882946962689,0.14653770698714522,-0.06168430231862313,0.05526907144993708,0.3010416087350379,0.36774685223190756,0.21638092316924168,0.46962705868370097,0.09832177025162113,0.09330222685706036,0.09671040323267402,-0.016661775414898772,0.035241052272463214,17,12
horn_of_africa_country_masked,spatial,0,isotonic,63,20172.761904761905,32366560.0,0.11108569044632055,0.07529691057632773,0.21780559975687896,0.11513025663506031,-0.03578877986999284,0.10671990931055844,0.15582664346417566,0.10270456743456191,0.1945239707547503,1.0433107499374208,0.01885012880817216,0.04508510585948177,0.016760689609330432,-0.12466308055001307,-1.6899314354215802,6,1
horn_of_africa_country_masked,spatial,1,isotonic,63,11142.0,17882910.0,0.11090454251466639,0.07914985787173981,0.25041640676170185,0.13015372210310283,-0.03175468464292657,0.13951186424703552,0.20532759306426857,0.1287493704849801,0.15278765962277915,0.8977448908541792,0.032359901572722546,0.0708602458885114,0.031910066134696616,-0.014096976049097432,-1.2206235985033977,11,3
horn_of_africa_country_masked,spatial,2,isotonic,63,6717.666666666667,10791670.0,0.097757625483419,0.0786090313649248,0.24888780146959077,0.14748063066461406,-0.0191485941184942,0.15113017598617173,0.20935354486749913,0.0877483368764422,0.21271465306653517,1.1904222538428764,0.016763325183601956,0.060706466603318604,0.019720577960432452,0.14995771334714203,-2.07833100658209,6,1
horn_of_africa_country_masked,spatial,3,isotonic,63,14686.396825396825,23571350.0,0.139562197541985,0.08299266292985918,0.2587111605609598,0.15466634437772156,-0.05656953461212586,0.11914896301897479,0.14457929970295677,0.13033986336768483,0.1447020177780204,0.8826483092673395,0.02740269905601957,0.05248616203641865,0.02610538025197026,-0.04969545708691192,-1.0105496081581626,14,3
horn_of_africa_country_masked,tabular,0,isotonic,63,20172.761904761905,32366560.0,0.11108569044632055,0.07538504788622716,0.2406353886805954,0.11513025663506031,-0.03570064256009341,0.12954969823427478,0.11014864686851819,0.08002340526579566,0.2065251338958482,1.059294556359879,0.019202330754798342,0.05188821654929974,0.016760689609330432,-0.14567665187885126,-2.0958282599788927,6,1
horn_of_africa_country_masked,tabular,1,isotonic,63,11142.0,17882910.0,0.11090454251466639,0.08005409834594551,0.2663672483782309,0.13015372210310283,-0.03085044416872084,0.15546270586356456,0.21239422586746604,0.14450599477483653,0.15762318948607348,0.8618522378810325,0.03221476361851647,0.07291929017983685,0.031910066134696616,-0.009548632163082438,-1.2851500799789908,11,3
horn_of_africa_country_masked,tabular,2,isotonic,63,6717.666666666667,10791670.0,0.097757625483419,0.07899828177700383,0.2630525632630735,0.14748063066461406,-0.018759343706415167,0.16529493777965448,0.1921636614613717,0.08748055476397773,0.22901821811933773,1.1510967592697268,0.016890023626736906,0.06373845593348657,0.019720577960432452,0.14353303130236827,-2.2320784949291035,6,1
horn_of_africa_country_masked,tabular,3,isotonic,63,14686.396825396825,23571350.0,0.139562197541985,0.0833674155994107,0.273903250737402,0.15466634437772156,-0.0561947819425743,0.134341053195417,0.08496085306937819,0.08429994174774458,0.16019651365249318,0.8586105238542322,0.027838640513475774,0.057411774858458636,0.02610538025197026,-0.06639475252901916,-1.199231511064681,14,3
mediterranean_spain_basin_masked,spatial,0,isotonic,63,3003.0,4819815.0,0.18309204023489736,0.15136760085160764,0.21449552067895009,0.14316895965247617,-0.031724439383289726,0.031403480444052743,-0.10529576873942544,0.018639810526344815,0.12923175667614387,0.49822406247611517,0.08659191697214778,0.10179936158690522,0.08215149278478522,-0.05405165550667812,-0.2391663028399511,15,10
mediterranean_spain_basin_masked,spatial,1,isotonic,63,1938.0,3110490.0,0.1227660654905237,0.15359023883566797,0.21061810204310993,0.14822934661943948,0.030824173345144246,0.08785203655258625,-0.07918767045244589,0.04523451878323523,0.22258189730725014,0.7300102815203142,0.04583175488431026,0.06840745125774542,0.042655939764723594,-0.07445188494506128,-0.6037028286109474,13,7
mediterranean_spain_basin_masked,spatial,2,isotonic,63,2523.0,4049415.0,0.12451792713386055,0.14816572793164598,0.20527334171054268,0.13346573187239064,0.023647800797785452,0.08075541457668214,-0.1153158417863451,0.09104230975063586,0.21070951026595972,0.6580818372091966,0.04906905058596842,0.0648065278382958,0.04419296725895588,-0.11033618309538573,-0.4664443656510189,11,7
mediterranean_spain_basin_masked,spatial,3,isotonic,63,1593.0,2556765.0,0.12661545053258802,0.15881723495827035,0.2349368611005796,0.14811210830043223,0.03220178442568231,0.10832141056799155,-0.1800861988251796,0.005513803600799686,0.18686626556808442,0.6636106858157568,0.05609606203757255,0.08331891469019972,0.04998237432396369,-0.12231687262358992,-0.6669659218300292,10,7
mediterranean_spain_basin_masked,tabular,0,isotonic,63,3003.0,4819815.0,0.18309204023489736,0.14251066205971125,0.210288938232969,0.14316895965247617,-0.04058137817518615,0.027196897998071682,-0.047064225685721536,0.10258330544650006,0.1757845593897108,0.5138180156747748,0.08752177973401869,0.09572675567434273,0.08215149278478522,-0.0653705339634203,-0.1652466976482223,15,10
mediterranean_spain_basin_masked,tabular,1,isotonic,63,1938.0,3110490.0,0.1227660654905237,0.1480416161683375,0.21116774084524995,0.14822934661943948,0.02527555067781385,0.08840167535472626,-0.06407469296709467,0.04125452357587521,0.2669799261820565,0.7496195749926466,0.04637680092322989,0.0698782313349535,0.042655939764723594,-0.08722961395363393,-0.6381829053674419,13,7
mediterranean_spain_basin_masked,tabular,2,isotonic,63,2523.0,4049415.0,0.12451792713386055,0.14203047960804807,0.20266805236050683,0.13346573187239064,0.0175125524741875,0.07815012522664638,-0.11286752100688041,0.11695647835705232,0.2595325703329203,0.6718838896676993,0.05027883433415952,0.06355017500223198,0.04419296725895588,-0.13771121182115964,-0.4380155699853643,11,7
mediterranean_spain_basin_masked,tabular,3,isotonic,63,1593.0,2556765.0,0.12661545053258802,0.1512405312392574,0.23111548817122654,0.14811210830043223,0.024625080706669383,0.10450003763863851,-0.1758125035253001,0.05006458853753654,0.22772655534646075,0.6670760271109326,0.05714963196884019,0.07976501264222584,0.04998237432396369,-0.14339570182123595,-0.5958628160644035,10,7
