zone,n_runs,mean_duration_months,median_duration_months,max_duration_months,mean_severity_threshold_deficit,median_severity_threshold_deficit,max_severity_threshold_deficit,mean_intensity,median_intensity,min_spi12_during_runs
0,15,4.866666666666666,1.0,20,2.4127357800801597,0.5209431648254395,14.078373432159424,0.3332456208915307,0.4397137827343411,-3.088535785675049
1,10,7.4,7.0,21,4.956492340564727,2.618927836418152,25.616140127182007,0.4117626588117509,0.32195703188578284,-3.433297634124756
2,15,5.666666666666667,1.0,22,3.2938834190368653,0.8449673652648926,13.650559306144714,0.4161307752092277,0.43840956687927246,-2.4823386669158936
3,10,6.2,4.0,20,4.1187658429145815,1.6407057642936707,17.37260937690735,0.45693127610744577,0.4201001763343811,-3.4484424591064453
