zone,run_id,start_time,end_time,duration_months,severity_threshold_deficit,mean_intensity,minimum_spi12
0,1,1996-10-01,1996-10-01,1,0.05853867530822754,0.05853867530822754,-1.0585386753082275
0,2,1999-05-01,1999-10-01,6,1.008226752281189,0.16803779204686484,-1.2938615083694458
0,3,2000-03-01,2000-04-01,2,0.45585525035858154,0.22792762517929077,-1.2894254922866821
0,4,2000-11-01,2000-12-01,2,0.1529606580734253,0.07648032903671265,-1.0785164833068848
0,5,2005-12-01,2005-12-01,1,0.06002020835876465,0.06002020835876465,-1.0600202083587646
0,6,2009-11-01,2009-11-01,1,0.135087251663208,0.135087251663208,-1.135087251663208
0,7,2011-04-01,2011-09-01,6,3.508189558982849,0.5846982598304749,-1.610770344734192
0,8,2017-04-01,2017-04-01,1,0.13215744495391846,0.13215744495391846,-1.1321574449539185
0,9,2022-12-01,2023-02-01,3,0.6720415353775024,0.22401384512583414,-1.236236572265625
1,1,1992-07-01,1992-07-01,1,0.21468544006347656,0.21468544006347656,-1.2146854400634766
1,2,1994-05-01,1994-06-01,2,0.5756118297576904,0.2878059148788452,-1.3222062587738037
1,3,2002-07-01,2003-06-01,12,3.4167964458465576,0.2847330371538798,-1.4996453523635864
1,4,2005-04-01,2005-04-01,1,0.014453649520874023,0.014453649520874023,-1.014453649520874
1,5,2008-09-01,2008-09-01,1,0.09231317043304443,0.09231317043304443,-1.0923131704330444
1,6,2009-09-01,2010-02-01,6,1.4723560810089111,0.24539268016815186,-1.4537509679794312
1,7,2015-07-01,2016-03-01,9,4.8173588514328,0.5352620946036445,-1.844120740890503
2,1,1992-07-01,1992-09-01,3,0.7024097442626953,0.23413658142089844,-1.2813674211502075
2,2,2002-08-01,2003-08-01,13,5.8853325843811035,0.4527178911062387,-1.6408323049545288
2,3,2009-09-01,2010-04-01,8,2.170761823654175,0.27134522795677185,-1.6756280660629272
2,4,2010-06-01,2010-06-01,1,0.18646728992462158,0.18646728992462158,-1.1864672899246216
3,1,1994-01-01,1994-03-01,3,0.5044752359390259,0.1681584119796753,-1.4320560693740845
3,2,1999-07-01,2001-01-01,19,8.533090353012085,0.44911001857958344,-1.9229415655136108
3,3,2009-11-01,2009-11-01,1,0.38068532943725586,0.38068532943725586,-1.3806853294372559
3,4,2011-05-01,2011-05-01,1,0.1415013074874878,0.1415013074874878,-1.1415013074874878
3,5,2017-04-01,2017-07-01,4,0.768099308013916,0.192024827003479,-1.3180841207504272
3,6,2023-02-01,2023-02-01,1,0.1506648063659668,0.1506648063659668,-1.1506648063659668
