time,zone,n_pixels,spi12_mean
1991-01-01,0,20626,
1991-02-01,0,20626,
1991-03-01,0,20626,
1991-04-01,0,20626,
1991-05-01,0,20626,
1991-06-01,0,20626,
1991-07-01,0,20626,
1991-08-01,0,20626,
1991-09-01,0,20626,
1991-10-01,0,20626,
1991-11-01,0,20626,
1991-12-01,0,20626,-0.1613243669271469
1992-01-01,0,20626,-0.15559005737304688
1992-02-01,0,20626,-0.13433025777339935
1992-03-01,0,20626,-0.4223639965057373
1992-04-01,0,20626,-0.34787997603416443
1992-05-01,0,20626,-0.5696526765823364
1992-06-01,0,20626,-0.5526527762413025
1992-07-01,0,20626,-0.7755823135375977
1992-08-01,0,20626,-0.7811764478683472
1992-09-01,0,20626,-0.7551490664482117
1992-10-01,0,20626,-0.9016128182411194
1992-11-01,0,20626,-0.6042268872261047
1992-12-01,0,20626,-0.2996753454208374
1993-01-01,0,20626,-0.047207269817590714
1993-02-01,0,20626,0.016173793002963066
1993-03-01,0,20626,0.014574217610061169
1993-04-01,0,20626,-0.163898304104805
1993-05-01,0,20626,0.12736204266548157
1993-06-01,0,20626,0.13817936182022095
1993-07-01,0,20626,0.12639227509498596
1993-08-01,0,20626,0.11627847701311111
1993-09-01,0,20626,0.08991184830665588
1993-10-01,0,20626,0.15158700942993164
1993-11-01,0,20626,-0.05106430500745773
1993-12-01,0,20626,-0.3872219920158386
1994-01-01,0,20626,-0.6145332455635071
1994-02-01,0,20626,-0.6845688819885254
1994-03-01,0,20626,-0.6200104355812073
1994-04-01,0,20626,-0.3574616014957428
1994-05-01,0,20626,-0.5614050030708313
1994-06-01,0,20626,-0.5736837387084961
1994-07-01,0,20626,-0.5209881067276001
1994-08-01,0,20626,-0.5148785710334778
1994-09-01,0,20626,-0.4771355390548706
1994-10-01,0,20626,-0.27657535672187805
1994-11-01,0,20626,0.3373599350452423
1994-12-01,0,20626,0.44252076745033264
1995-01-01,0,20626,0.44177374243736267
1995-02-01,0,20626,0.5214536190032959
1995-03-01,0,20626,0.7712924480438232
1995-04-01,0,20626,0.8525873422622681
1995-05-01,0,20626,0.7695879936218262
1995-06-01,0,20626,0.7487744688987732
1995-07-01,0,20626,0.7455131411552429
1995-08-01,0,20626,0.7747726440429688
1995-09-01,0,20626,0.7418280839920044
1995-10-01,0,20626,0.7245744466781616
1995-11-01,0,20626,0.03959603235125542
1995-12-01,0,20626,-0.0269736647605896
1996-01-01,0,20626,0.038934364914894104
1996-02-01,0,20626,-0.034081652760505676
1996-03-01,0,20626,-0.16384227573871613
1996-04-01,0,20626,-0.6378248929977417
1996-05-01,0,20626,-0.46451497077941895
1996-06-01,0,20626,-0.438245952129364
1996-07-01,0,20626,-0.44330349564552307
1996-08-01,0,20626,-0.48250439763069153
1996-09-01,0,20626,-0.48490267992019653
1996-10-01,0,20626,-1.058536410331726
1996-11-01,0,20626,-0.7252578139305115
1996-12-01,0,20626,-0.9240530133247375
1997-01-01,0,20626,-0.8979853391647339
1997-02-01,0,20626,-0.9144489169120789
1997-03-01,0,20626,-0.8608655333518982
1997-04-01,0,20626,0.12986929714679718
1997-05-01,0,20626,0.11327838897705078
1997-06-01,0,20626,0.21308661997318268
1997-07-01,0,20626,0.24970948696136475
1997-08-01,0,20626,0.2509031891822815
1997-09-01,0,20626,0.26008132100105286
1997-10-01,0,20626,1.5319310426712036
1997-11-01,0,20626,2.4588232040405273
1997-12-01,0,20626,2.8849129676818848
1998-01-01,0,20626,3.1545345783233643
1998-02-01,0,20626,3.2255077362060547
1998-03-01,0,20626,3.0943150520324707
1998-04-01,0,20626,2.632260322570801
1998-05-01,0,20626,2.7631676197052
1998-06-01,0,20626,2.749444007873535
1998-07-01,0,20626,2.7115440368652344
1998-08-01,0,20626,2.704493761062622
1998-09-01,0,20626,2.7123196125030518
1998-10-01,0,20626,2.113398790359497
1998-11-01,0,20626,0.9968478679656982
1998-12-01,0,20626,0.30430352687835693
1999-01-01,0,20626,-0.33183977007865906
1999-02-01,0,20626,-0.551934540271759
1999-03-01,0,20626,-0.24985888600349426
1999-04-01,0,20626,-0.5833989977836609
1999-05-01,0,20626,-1.077303409576416
1999-06-01,0,20626,-1.1842119693756104
1999-07-01,0,20626,-1.1571604013442993
1999-08-01,0,20626,-1.1434106826782227
1999-09-01,0,20626,-1.1522862911224365
1999-10-01,0,20626,-1.2938628196716309
1999-11-01,0,20626,-0.9239595532417297
1999-12-01,0,20626,-0.6850011348724365
2000-01-01,0,20626,-0.6398242712020874
2000-02-01,0,20626,-0.6329753398895264
2000-03-01,0,20626,-1.1664284467697144
2000-04-01,0,20626,-1.2894246578216553
2000-05-01,0,20626,-0.9254001975059509
2000-06-01,0,20626,-0.9305060505867004
2000-07-01,0,20626,-0.9374709129333496
2000-08-01,0,20626,-0.9370046854019165
2000-09-01,0,20626,-0.9308075904846191
2000-10-01,0,20626,-0.8862541913986206
2000-11-01,0,20626,-1.0744470357894897
2000-12-01,0,20626,-1.078518033027649
2001-01-01,0,20626,-0.8722053170204163
2001-02-01,0,20626,-0.8374987840652466
2001-03-01,0,20626,-0.6096962690353394
2001-04-01,0,20626,-0.25808799266815186
2001-05-01,0,20626,-0.4740704894065857
2001-06-01,0,20626,-0.4617723226547241
2001-07-01,0,20626,-0.4479525685310364
2001-08-01,0,20626,-0.4441426694393158
2001-09-01,0,20626,-0.4606607258319855
2001-10-01,0,20626,-0.8105928897857666
2001-11-01,0,20626,-0.7243021726608276
2001-12-01,0,20626,-0.7151404023170471
2002-01-01,0,20626,-0.6931067109107971
2002-02-01,0,20626,-0.6857657432556152
2002-03-01,0,20626,-0.611505389213562
2002-04-01,0,20626,-0.22750845551490784
2002-05-01,0,20626,-0.19614848494529724
2002-06-01,0,20626,-0.18312685191631317
2002-07-01,0,20626,-0.16273367404937744
2002-08-01,0,20626,-0.1652059257030487
2002-09-01,0,20626,-0.08287014067173004
2002-10-01,0,20626,0.10523673892021179
2002-11-01,0,20626,0.0018688630079850554
2002-12-01,0,20626,0.35786136984825134
2003-01-01,0,20626,0.30873969197273254
2003-02-01,0,20626,0.3330117166042328
2003-03-01,0,20626,0.21791362762451172
2003-04-01,0,20626,0.2560490369796753
2003-05-01,0,20626,0.4110811948776245
2003-06-01,0,20626,0.4074045717716217
2003-07-01,0,20626,0.4118726849555969
2003-08-01,0,20626,0.4129542112350464
2003-09-01,0,20626,0.3161262273788452
2003-10-01,0,20626,0.07411114126443863
2003-11-01,0,20626,0.2225802093744278
2003-12-01,0,20626,0.002057022415101528
2004-01-01,0,20626,0.19075563549995422
2004-02-01,0,20626,0.18081997334957123
2004-03-01,0,20626,0.15449433028697968
2004-04-01,0,20626,-0.13092881441116333
2004-05-01,0,20626,-0.4069906771183014
2004-06-01,0,20626,-0.363543301820755
2004-07-01,0,20626,-0.35954931378364563
2004-08-01,0,20626,-0.36840689182281494
2004-09-01,0,20626,-0.35157763957977295
2004-10-01,0,20626,-0.27413395047187805
2004-11-01,0,20626,-0.18305958807468414
2004-12-01,0,20626,-0.24725376069545746
2005-01-01,0,20626,-0.34499239921569824
2005-02-01,0,20626,-0.3646373152732849
2005-03-01,0,20626,-0.3498568832874298
2005-04-01,0,20626,-0.4539044201374054
2005-05-01,0,20626,-0.04958964139223099
2005-06-01,0,20626,-0.10884299129247665
2005-07-01,0,20626,-0.0397961288690567
2005-08-01,0,20626,-0.03657413274049759
2005-09-01,0,20626,-0.038817018270492554
2005-10-01,0,20626,-0.36389610171318054
2005-11-01,0,20626,-0.936128556728363
2005-12-01,0,20626,-1.0600240230560303
2006-01-01,0,20626,-0.9990043044090271
2006-02-01,0,20626,-0.9433276653289795
2006-03-01,0,20626,-0.8466901779174805
2006-04-01,0,20626,-0.3927096724510193
2006-05-01,0,20626,-0.6094494462013245
2006-06-01,0,20626,-0.5919033885002136
2006-07-01,0,20626,-0.6420602798461914
2006-08-01,0,20626,-0.6115579605102539
2006-09-01,0,20626,-0.5405381321907043
2006-10-01,0,20626,0.10650849342346191
2006-11-01,0,20626,0.8584352731704712
2006-12-01,0,20626,1.2868622541427612
2007-01-01,0,20626,1.2629668712615967
2007-02-01,0,20626,1.2380516529083252
2007-03-01,0,20626,1.1816067695617676
2007-04-01,0,20626,0.8241693377494812
2007-05-01,0,20626,0.9346481561660767
2007-06-01,0,20626,0.9803535342216492
2007-07-01,0,20626,0.9799626469612122
2007-08-01,0,20626,0.9807790517807007
2007-09-01,0,20626,1.011578917503357
2007-10-01,0,20626,0.6589809656143188
2007-11-01,0,20626,0.14201374351978302
2007-12-01,0,20626,-0.3005011975765228
2008-01-01,0,20626,-0.18306146562099457
2008-02-01,0,20626,-0.18662816286087036
2008-03-01,0,20626,-0.05029008165001869
2008-04-01,0,20626,0.04289274290204048
2008-05-01,0,20626,-0.10200072079896927
2008-06-01,0,20626,-0.16785044968128204
2008-07-01,0,20626,-0.17052702605724335
2008-08-01,0,20626,-0.1991066038608551
2008-09-01,0,20626,-0.3240036368370056
2008-10-01,0,20626,-0.36239829659461975
2008-11-01,0,20626,-0.3563265800476074
2008-12-01,0,20626,-0.4136562645435333
2009-01-01,0,20626,-0.4237549304962158
2009-02-01,0,20626,-0.39924317598342896
2009-03-01,0,20626,-0.6485769152641296
2009-04-01,0,20626,-0.8881590962409973
2009-05-01,0,20626,-0.8720296025276184
2009-06-01,0,20626,-0.8428378105163574
2009-07-01,0,20626,-0.8172560334205627
2009-08-01,0,20626,-0.8342958092689514
2009-09-01,0,20626,-0.8416104912757874
2009-10-01,0,20626,-0.6977256536483765
2009-11-01,0,20626,-1.1350855827331543
2009-12-01,0,20626,-0.713755190372467
2010-01-01,0,20626,-0.6397380828857422
2010-02-01,0,20626,-0.4455597400665283
2010-03-01,0,20626,0.17985932528972626
2010-04-01,0,20626,0.44413653016090393
2010-05-01,0,20626,0.5233522653579712
2010-06-01,0,20626,0.5263712406158447
2010-07-01,0,20626,0.5406559705734253
2010-08-01,0,20626,0.5529928207397461
2010-09-01,0,20626,0.5561143755912781
2010-10-01,0,20626,0.16368263959884644
2010-11-01,0,20626,0.1644963026046753
2010-12-01,0,20626,-0.07162342220544815
2011-01-01,0,20626,-0.08791279792785645
2011-02-01,0,20626,-0.23317314684391022
2011-03-01,0,20626,-0.9268911480903625
2011-04-01,0,20626,-1.5152711868286133
2011-05-01,0,20626,-1.5751081705093384
2011-06-01,0,20626,-1.610771894454956
2011-07-01,0,20626,-1.6051554679870605
2011-08-01,0,20626,-1.6018590927124023
2011-09-01,0,20626,-1.6000330448150635
2011-10-01,0,20626,-0.918005108833313
2011-11-01,0,20626,5.6620078794367146e-06
2011-12-01,0,20626,0.14693798124790192
2012-01-01,0,20626,0.15722040832042694
2012-02-01,0,20626,0.14103353023529053
2012-03-01,0,20626,0.10454609990119934
2012-04-01,0,20626,0.3864362835884094
2012-05-01,0,20626,0.4295189380645752
2012-06-01,0,20626,0.4176100492477417
2012-07-01,0,20626,0.4037458598613739
2012-08-01,0,20626,0.4162735641002655
2012-09-01,0,20626,0.4177810549736023
2012-10-01,0,20626,0.10530021041631699
2012-11-01,0,20626,-0.6098938584327698
2012-12-01,0,20626,-0.4718780815601349
2013-01-01,0,20626,-0.3830712139606476
2013-02-01,0,20626,-0.39264562726020813
2013-03-01,0,20626,0.27746376395225525
2013-04-01,0,20626,0.5362641215324402
2013-05-01,0,20626,0.48273512721061707
2013-06-01,0,20626,0.48128268122673035
2013-07-01,0,20626,0.496135950088501
2013-08-01,0,20626,0.47857552766799927
2013-09-01,0,20626,0.46056100726127625
2013-10-01,0,20626,0.33758655190467834
2013-11-01,0,20626,0.5222266316413879
2013-12-01,0,20626,0.4152500033378601
2014-01-01,0,20626,0.3928695619106293
2014-02-01,0,20626,0.4456498920917511
2014-03-01,0,20626,0.09542987495660782
2014-04-01,0,20626,-0.45951953530311584
2014-05-01,0,20626,-0.3766784369945526
2014-06-01,0,20626,-0.3369351923465729
2014-07-01,0,20626,-0.3370310664176941
2014-08-01,0,20626,-0.3102359473705292
2014-09-01,0,20626,-0.30085715651512146
2014-10-01,0,20626,-0.2737782597541809
2014-11-01,0,20626,-0.33835726976394653
2014-12-01,0,20626,-0.31009289622306824
2015-01-01,0,20626,-0.26461946964263916
