target_time,y_true_dry_frac,xgb_prob_dry,xgb_cal_prob_dry,clim_prob_dry,persistence_prob_dry
2021-01-01,0.22975352112676056,0.31794554,0.21913756,0.18396126760563383,0.49457159624413144
2021-02-01,0.460093896713615,0.42048782,0.2592513,0.14759389671361503,0.8526995305164319
2021-03-01,0.2847711267605634,0.1847905,0.1882772,0.16026408450704224,0.8224765258215962
2021-04-01,0.9925176056338029,0.31348726,0.22256356,0.18302230046948356,0.22975352112676056
2021-05-01,0.7546948356807511,0.16266552,0.16194795,0.20348591549295775,0.460093896713615
2021-06-01,0.8597417840375586,0.33479115,0.2356384,0.1815669014084507,0.2847711267605634
2021-07-01,0.5308098591549296,0.38490522,0.23387237,0.17277582159624413,0.9925176056338029
2021-08-01,0.5217136150234741,0.3727862,0.22718535,0.14942488262910797,0.7546948356807511
2021-09-01,0.08890845070422536,0.56150246,0.26395836,0.12237608342361864,0.8597417840375586
2021-10-01,0.0,0.23166873,0.2154719,0.1280960014449888,0.5308189022600528
2021-11-01,0.0,0.24885261,0.22345555,0.1186527737012034,0.5218667449368947
2021-12-01,0.0,0.45038998,0.22658834,0.13778758664288457,0.08893454652186675
2022-01-01,0.08318661971830986,0.68389994,0.41822493,0.18396126760563383,0.0
2022-02-01,0.6898474178403756,0.60390705,0.3184218,0.14759389671361503,0.0
2022-03-01,1.0,0.36311257,0.24544899,0.16026408450704224,0.0
2022-04-01,0.9995598591549296,0.23685488,0.2176482,0.18302230046948356,0.08318661971830986
2022-05-01,0.7539612676056338,0.21739134,0.2310392,0.20348591549295775,0.6898474178403756
2022-06-01,0.4636150234741784,0.35080543,0.22528663,0.1815669014084507,1.0
2022-07-01,0.47139084507042256,0.4219218,0.22590476,0.17277582159624413,0.9995598591549296
2022-08-01,0.02420774647887324,0.3242996,0.23927382,0.14942488262910797,0.7539612676056338
2022-09-01,0.0038145539906103286,0.23033684,0.21799196,0.12237608342361864,0.4636150234741784
2022-10-01,0.13795127678309363,0.33985072,0.25111395,0.1280960014449888,0.4712356912239507
2022-11-01,0.1938655708834752,0.41092867,0.23462176,0.1186527737012034,0.024214851775755795
2022-12-01,0.0,0.5527478,0.2887619,0.13778758664288457,0.0038156736131493983
2023-01-01,0.0,0.26280773,0.21816713,0.18396126760563383,0.13791079812206572
2023-02-01,0.0,0.55504745,0.26303297,0.14759389671361503,0.19395539906103287
2023-03-01,0.0,0.41478053,0.25551042,0.16026408450704224,0.0
2023-04-01,0.005428403755868545,0.23143119,0.21689032,0.18302230046948356,0.0
2023-05-01,0.0008802816901408451,0.44598216,0.22590691,0.20348591549295775,0.0
2023-06-01,0.4948650234741784,0.33662215,0.22581689,0.1815669014084507,0.0
2023-07-01,0.007482394366197183,0.40011755,0.27289748,0.17277582159624413,0.005428403755868545
2023-08-01,0.00044014084507042255,0.29593027,0.22772926,0.14942488262910797,0.0008802816901408451
2023-09-01,0.008215962441314555,0.11571016,0.09350653,0.12237608342361864,0.4948650234741784
2023-10-01,0.24977986498385676,0.16960241,0.15328985,0.1280960014449888,0.007484590548869974
2023-11-01,0.5278837687114764,0.15787716,0.13197264,0.1186527737012034,0.00044027003228646906
2023-12-01,0.30114470208394484,0.17672656,0.18160325,0.13778758664288457,0.008218373936014088
2024-01-01,0.01232394366197183,0.10780419,0.08870637,0.18396126760563383,0.24985328638497653
2024-02-01,0.0,0.15326159,0.13669194,0.14759389671361503,0.5277288732394366
2024-03-01,0.0,0.1695568,0.15090589,0.16026408450704224,0.301056338028169
2024-04-01,0.0,0.22001548,0.16274592,0.18302230046948356,0.01232394366197183
2024-05-01,0.06836854460093897,0.16140327,0.15081908,0.20348591549295775,0.0
2024-06-01,0.21919014084507044,0.29328075,0.22546056,0.1815669014084507,0.0
2024-07-01,0.1216255868544601,0.17046854,0.1424744,0.17277582159624413,0.0
2024-08-01,0.11018192488262911,0.3303945,0.22475263,0.14942488262910797,0.06836854460093897
2024-09-01,0.09697769953051644,0.3300007,0.23394756,0.12237608342361864,0.21919014084507044
2024-10-01,0.49060757264455535,0.33224002,0.28687015,0.1280960014449888,0.12166128558849428
2024-11-01,0.02685647196947461,0.21756558,0.20958924,0.1186527737012034,0.11021426474904608
2024-12-01,0.03184619900205459,0.37303618,0.22545864,0.13778758664288457,0.09700616378045201
2025-01-01,0.20980046948356806,0.53339654,0.25568342,0.18396126760563383,0.4907570422535211
2025-02-01,0.2943075117370892,0.59025854,0.31765884,0.14759389671361503,0.02699530516431925
2025-03-01,0.09345657276995305,0.15292136,0.13904779,0.16026408450704224,0.03198356807511737
2025-04-01,0.011150234741784037,0.29012176,0.22172962,0.18302230046948356,0.20980046948356806
2025-05-01,0.15610328638497653,0.47476077,0.22754551,0.20348591549295775,0.2943075117370892
2025-06-01,0.6314553990610329,0.56120074,0.2649968,0.1815669014084507,0.09345657276995305
2025-07-01,0.15551643192488263,0.54695046,0.24282596,0.17277582159624413,0.011150234741784037
2025-08-01,0.2125880281690141,0.61005306,0.32438037,0.14942488262910797,0.15610328638497653
2025-09-01,0.0,0.27039072,0.22098042,0.12237608342361864,0.6314553990610329
2025-10-01,0.0007337833871441151,0.25008208,0.22262181,0.1280960014449888,0.15541532139712358
2025-11-01,0.012327560904021134,0.33109984,0.22470504,0.1186527737012034,0.21265042559436453
