file,enso_phase,season,n_months,bs_clim,bs_model,bss
seasonal_spi3_lead3_monthly_scores.csv,ElNino,DJF,3,0.025976292160958234,0.012936373426861991,0.5019930732722101
seasonal_spi3_lead3_monthly_scores.csv,ElNino,JJA,3,0.049224694553274266,0.06483080316472067,-0.31703820111176984
seasonal_spi3_lead3_monthly_scores.csv,ElNino,MAM,2,0.02959086962601113,0.024629411056669246,0.16766856236562366
seasonal_spi3_lead3_monthly_scores.csv,ElNino,SON,3,0.06510316771517939,0.05777680858122094,0.11253460301671692
seasonal_spi3_lead3_monthly_scores.csv,LaNina,DJF,9,0.054183491036388136,0.05695241511278959,-0.05110272563541396
seasonal_spi3_lead3_monthly_scores.csv,LaNina,JJA,4,0.08075007671468956,0.06251603899417951,0.22580830213865322
seasonal_spi3_lead3_monthly_scores.csv,LaNina,MAM,5,0.46913955169003063,0.41126417369858376,0.12336495139443338
seasonal_spi3_lead3_monthly_scores.csv,LaNina,SON,6,0.008569679384414879,0.031223635344280114,-2.6435009927051087
seasonal_spi3_lead3_monthly_scores.csv,Neutral,DJF,2,0.021654421590182722,0.03486581391933156,-0.6101013723284288
seasonal_spi3_lead3_monthly_scores.csv,Neutral,JJA,8,0.100046067209817,0.08071121628504307,0.19325947999759752
seasonal_spi3_lead3_monthly_scores.csv,Neutral,MAM,8,0.057076194192000586,0.07128898617123074,-0.249014360197515
seasonal_spi3_lead3_monthly_scores.csv,Neutral,SON,6,0.03049806157144448,0.03947196342994343,-0.2942449911931868
seasonal_spi3_lead3_monthly_scores.csv,ElNino,ALL,11,0.04364492750365981,0.04144461614834084,0.05041390789650091
seasonal_spi3_lead3_monthly_scores.csv,LaNina,ALL,24,0.13365698170595394,0.1252624405229343,0.06280660445772801
seasonal_spi3_lead3_monthly_scores.csv,Neutral,ALL,24,0.061803137659315534,0.06344020950285474,-0.026488490803871834
seasonal_spi6_lead6_monthly_scores.csv,ElNino,DJF,3,0.018183890686941203,0.01940901340154101,-0.06737406948226066
seasonal_spi6_lead6_monthly_scores.csv,ElNino,JJA,3,0.03292785162822263,0.039615266900121904,-0.20309297270300686
seasonal_spi6_lead6_monthly_scores.csv,ElNino,MAM,2,0.030654086469438256,0.008768317440960802,0.7139592644620903
seasonal_spi6_lead6_monthly_scores.csv,ElNino,SON,3,0.06495011081584712,0.04744885515197173,0.26945690229069275
seasonal_spi6_lead6_monthly_scores.csv,LaNina,DJF,9,0.06440081472226324,0.12533044723937486,-0.9461003370823564
seasonal_spi6_lead6_monthly_scores.csv,LaNina,JJA,4,0.5202628400759606,0.5252925602799644,-0.009667652226073686
seasonal_spi6_lead6_monthly_scores.csv,LaNina,MAM,5,0.43842088129366186,0.37420408038119024,0.14647295248115266
seasonal_spi6_lead6_monthly_scores.csv,LaNina,SON,6,0.1492945662867726,0.1453616272412535,0.026343484182568933
seasonal_spi6_lead6_monthly_scores.csv,Neutral,DJF,5,0.018533048559046344,0.08470169286728353,-3.570305451767619
seasonal_spi6_lead6_monthly_scores.csv,Neutral,JJA,8,0.11536057154251805,0.10678463490064598,0.07434027525350173
seasonal_spi6_lead6_monthly_scores.csv,Neutral,MAM,8,0.06911894019160043,0.1039990659304636,-0.5046391863384201
seasonal_spi6_lead6_monthly_scores.csv,Neutral,SON,6,0.024048639024581764,0.09591190377537628,-2.9882466395432252
