zone,n_runs,mean_duration_months,median_duration_months,max_duration_months,mean_severity_threshold_deficit,median_severity_threshold_deficit,max_severity_threshold_deficit,mean_intensity,median_intensity,min_spi12_during_runs
0,11,4.818181818181818,2.0,11,1.849269368431785,0.6986043453216553,5.72320282459259,0.29869334255477725,0.32631487316555446,-1.8000752925872803
1,11,4.090909090909091,3.0,12,1.407771186395125,0.7124254703521729,6.448045134544373,0.28032863302664324,0.2563598155975342,-2.155883550643921
2,13,3.769230769230769,3.0,10,1.3458602245037372,0.7266693115234375,5.03480076789856,0.2777269025134225,0.24222310384114584,-2.3049840927124023
3,15,3.8666666666666667,3.0,11,1.352348756790161,0.6055922508239746,4.310746550559998,0.3064482822562709,0.2910962321541526,-2.5931127071380615
