target_time,y_true_dry_frac,xgb_raw_prob_dry,xgb_isotonic_prob_dry,xgb_platt_prob_dry,xgb_selected_prob_dry,clim_prob_dry
2021-01-01,0.00364359059291156,0.26913375,0.15910965,0.15993786408228466,0.15910965,0.1469095727061941
2021-02-01,0.0,0.22629046,0.15471785,0.14870444577585365,0.15471785,0.13854477199955836
2021-03-01,0.048470796069338636,0.22491448,0.15316832,0.1491648497158127,0.15316832,0.16607265098818594
2021-04-01,0.0011041183614883515,0.6836906,0.33462593,0.2957922300346693,0.33462593,0.1516970299216076
2021-05-01,0.009495417908799823,0.24231672,0.15454207,0.15280845620336456,0.15454207,0.12857237495859555
2021-06-01,0.0030915314121673842,0.28233516,0.16288808,0.1624850157303664,0.16288808,0.1297339074748813
2021-07-01,0.2007287181185823,0.18800578,0.14693293,0.13929205790628624,0.14693293,0.11593242795627691
2021-08-01,0.11129513083802584,0.323579,0.16619512,0.17640944533744213,0.16619512,0.1414970146338149
2021-09-01,0.0003312355084465055,0.3477153,0.1685822,0.18255236354693627,0.1685822,0.13807000110411835
2021-10-01,0.22601302859666556,0.061985977,0.1354772,0.11251705368527098,0.1354772,0.12535140690158908
2021-11-01,0.19730595119796843,0.071037725,0.13612977,0.11435825513384794,0.13612977,0.16614858035858368
2021-12-01,0.21629678701556806,0.033178072,0.065420546,0.10702729091176764,0.065420546,0.15563397626994846
2022-01-01,0.6857679143204152,0.03686917,0.05897288,0.10777322622438772,0.05897288,0.1469095727061941
2022-02-01,0.2484266313348791,0.37585154,0.18667436,0.1919999218631873,0.18667436,0.13854477199955836
2022-03-01,0.0,0.11630825,0.14314884,0.12381891259055562,0.14314884,0.16607265098818594
2022-04-01,0.006955945677376615,0.07065317,0.13989949,0.11419180743704781,0.13989949,0.1516970299216076
2022-05-01,0.35795517279452355,0.031206733,0.052606642,0.10666922046573792,0.052606642,0.12857237495859555
2022-06-01,0.14143756210665784,0.122318104,0.14393687,0.12465545293706128,0.14393687,0.1297339074748813
2022-07-01,0.16374075300872254,0.38269904,0.19282979,0.19422654411052553,0.19282979,0.11593242795627691
2022-08-01,0.0032019432483162196,0.34876397,0.17133664,0.18334525765318233,0.17133664,0.1414970146338149
2022-09-01,0.0061830628243347684,0.12358602,0.13201742,0.12589578534013898,0.13201742,0.13807000110411835
2022-10-01,0.04791873688859446,0.1140334,0.13579357,0.12474032692332018,0.13579357,0.12535140690158908
2022-11-01,0.16727393176548527,0.2518175,0.15630388,0.1557096822442072,0.15630388,0.16614858035858368
2022-12-01,0.0,0.16520658,0.14509319,0.13414464355547975,0.14509319,0.15563397626994846
2023-01-01,0.3793750690073976,0.15352884,0.14481342,0.13150514103325975,0.14481342,0.1469095727061941
2023-02-01,0.1174781936623606,0.34286955,0.16589306,0.17935948888346043,0.16589306,0.13854477199955836
2023-03-01,0.36491111847190016,0.32876688,0.16246986,0.17682079507958043,0.16246986,0.16607265098818594
