time,zone,n_pixels,spi12_mean
1991-01-01,0,4227,
1991-02-01,0,4227,
1991-03-01,0,4227,
1991-04-01,0,4227,
1991-05-01,0,4227,
1991-06-01,0,4227,
1991-07-01,0,4227,
1991-08-01,0,4227,
1991-09-01,0,4227,
1991-10-01,0,4227,
1991-11-01,0,4227,
1991-12-01,0,4227,0.7220467925071716
1992-01-01,0,4227,0.7199243307113647
1992-02-01,0,4227,0.801953136920929
1992-03-01,0,4227,0.6501902341842651
1992-04-01,0,4227,0.5888647437095642
1992-05-01,0,4227,0.36186832189559937
1992-06-01,0,4227,0.6914122700691223
1992-07-01,0,4227,0.7807259559631348
1992-08-01,0,4227,0.7586663365364075
1992-09-01,0,4227,0.6494041681289673
1992-10-01,0,4227,0.6702819466590881
1992-11-01,0,4227,0.5730337500572205
1992-12-01,0,4227,0.5559706091880798
1993-01-01,0,4227,0.6249332427978516
1993-02-01,0,4227,0.6564040184020996
1993-03-01,0,4227,0.8145000338554382
1993-04-01,0,4227,0.8902629017829895
1993-05-01,0,4227,1.0466253757476807
1993-06-01,0,4227,0.6829274892807007
1993-07-01,0,4227,0.5768899321556091
1993-08-01,0,4227,0.7712743878364563
1993-09-01,0,4227,0.802615761756897
1993-10-01,0,4227,0.9259073734283447
1993-11-01,0,4227,0.9273843765258789
1993-12-01,0,4227,0.7969813942909241
1994-01-01,0,4227,0.5985994935035706
1994-02-01,0,4227,0.5664473176002502
1994-03-01,0,4227,0.3708469569683075
1994-04-01,0,4227,0.4937898516654968
1994-05-01,0,4227,0.3685292601585388
1994-06-01,0,4227,0.31033825874328613
1994-07-01,0,4227,0.42874160408973694
1994-08-01,0,4227,0.2397901564836502
1994-09-01,0,4227,0.2309802621603012
1994-10-01,0,4227,0.33417683839797974
1994-11-01,0,4227,0.3955482542514801
1994-12-01,0,4227,0.3929543197154999
1995-01-01,0,4227,0.34337401390075684
1995-02-01,0,4227,0.2831200659275055
1995-03-01,0,4227,0.3357422351837158
1995-04-01,0,4227,0.33146393299102783
1995-05-01,0,4227,0.7324482202529907
1995-06-01,0,4227,0.9512354731559753
1995-07-01,0,4227,0.773430585861206
1995-08-01,0,4227,0.32293304800987244
1995-09-01,0,4227,0.4303557574748993
1995-10-01,0,4227,0.12094850838184357
1995-11-01,0,4227,-0.028496958315372467
1995-12-01,0,4227,-0.0886983871459961
1996-01-01,0,4227,-0.16615138947963715
1996-02-01,0,4227,-0.14456166326999664
1996-03-01,0,4227,-0.2331962138414383
1996-04-01,0,4227,-0.5180577039718628
1996-05-01,0,4227,-0.8696262240409851
1996-06-01,0,4227,-0.9729987382888794
1996-07-01,0,4227,-0.5300970673561096
1996-08-01,0,4227,0.2091778665781021
1996-09-01,0,4227,0.5527721047401428
1996-10-01,0,4227,0.6438707709312439
1996-11-01,0,4227,0.8620434999465942
1996-12-01,0,4227,0.9550341963768005
1997-01-01,0,4227,1.0109823942184448
1997-02-01,0,4227,1.0888901948928833
1997-03-01,0,4227,0.9312711954116821
1997-04-01,0,4227,1.2049528360366821
1997-05-01,0,4227,0.8554481863975525
1997-06-01,0,4227,0.8887153267860413
1997-07-01,0,4227,0.6612754464149475
1997-08-01,0,4227,0.8414800763130188
1997-09-01,0,4227,0.539137065410614
1997-10-01,0,4227,1.0019822120666504
1997-11-01,0,4227,0.8569396138191223
1997-12-01,0,4227,0.9146069884300232
1998-01-01,0,4227,0.816618025302887
1998-02-01,0,4227,0.7285844683647156
1998-03-01,0,4227,1.0047680139541626
1998-04-01,0,4227,0.6208659410476685
1998-05-01,0,4227,0.6420985460281372
1998-06-01,0,4227,0.17581325769424438
1998-07-01,0,4227,0.7280088663101196
1998-08-01,0,4227,0.24715928733348846
1998-09-01,0,4227,0.11906234920024872
1998-10-01,0,4227,0.21993868052959442
1998-11-01,0,4227,0.4578050971031189
1998-12-01,0,4227,0.17431406676769257
1999-01-01,0,4227,0.30846235156059265
1999-02-01,0,4227,0.3085041344165802
1999-03-01,0,4227,0.2724746763706207
1999-04-01,0,4227,0.820113480091095
1999-05-01,0,4227,1.0311845541000366
1999-06-01,0,4227,1.3731154203414917
1999-07-01,0,4227,0.8307249546051025
1999-08-01,0,4227,1.0269848108291626
1999-09-01,0,4227,1.023582935333252
1999-10-01,0,4227,0.4916396141052246
1999-11-01,0,4227,0.14033004641532898
1999-12-01,0,4227,0.16948051750659943
2000-01-01,0,4227,-0.05048934370279312
2000-02-01,0,4227,0.022220738232135773
2000-03-01,0,4227,0.5292795300483704
2000-04-01,0,4227,0.0657275840640068
2000-05-01,0,4227,-0.30393052101135254
2000-06-01,0,4227,-0.5613200068473816
2000-07-01,0,4227,-0.47108331322669983
2000-08-01,0,4227,-0.9182282090187073
2000-09-01,0,4227,-0.9775711894035339
2000-10-01,0,4227,-0.16549508273601532
2000-11-01,0,4227,-0.07663557678461075
2000-12-01,0,4227,-0.09784361720085144
2001-01-01,0,4227,0.005416134838014841
2001-02-01,0,4227,0.08490195125341415
2001-03-01,0,4227,-0.4629427492618561
2001-04-01,0,4227,-0.4893142879009247
2001-05-01,0,4227,0.29893526434898376
2001-06-01,0,4227,0.3939375579357147
2001-07-01,0,4227,0.5452492237091064
2001-08-01,0,4227,0.6584643721580505
2001-09-01,0,4227,0.8475156426429749
2001-10-01,0,4227,0.31789135932922363
2001-11-01,0,4227,0.3582268953323364
2001-12-01,0,4227,0.3078932464122772
2002-01-01,0,4227,0.20759151875972748
2002-02-01,0,4227,0.1078648492693901
2002-03-01,0,4227,-0.06081858649849892
2002-04-01,0,4227,-0.10305605083703995
2002-05-01,0,4227,-0.951073944568634
2002-06-01,0,4227,-0.9302253127098083
2002-07-01,0,4227,-1.7974697351455688
2002-08-01,0,4227,-1.5120649337768555
2002-09-01,0,4227,-1.313080906867981
2002-10-01,0,4227,-1.1415739059448242
2002-11-01,0,4227,-1.1761410236358643
2002-12-01,0,4227,-1.0849649906158447
2003-01-01,0,4227,-1.361215591430664
2003-02-01,0,4227,-1.2547200918197632
2003-03-01,0,4227,-1.0132710933685303
2003-04-01,0,4227,-0.9672956466674805
2003-05-01,0,4227,-0.5061339139938354
2003-06-01,0,4227,0.05833616480231285
2003-07-01,0,4227,0.04367735981941223
2003-08-01,0,4227,-0.1478431522846222
2003-09-01,0,4227,-0.24169203639030457
2003-10-01,0,4227,-0.6480596661567688
2003-11-01,0,4227,-0.4065183699131012
2003-12-01,0,4227,-0.5256785750389099
2004-01-01,0,4227,-0.5890371203422546
2004-02-01,0,4227,-0.5744054317474365
2004-03-01,0,4227,-0.6013379096984863
2004-04-01,0,4227,-0.1287764459848404
2004-05-01,0,4227,-0.48894816637039185
2004-06-01,0,4227,-0.3973976969718933
2004-07-01,0,4227,0.17796216905117035
2004-08-01,0,4227,0.40804755687713623
2004-09-01,0,4227,0.5426168441772461
2004-10-01,0,4227,0.701404333114624
2004-11-01,0,4227,0.7697312235832214
2004-12-01,0,4227,0.7451983094215393
2005-01-01,0,4227,0.8500908613204956
2005-02-01,0,4227,0.7412838339805603
2005-03-01,0,4227,0.7380753755569458
2005-04-01,0,4227,0.5863953828811646
2005-05-01,0,4227,0.9254167079925537
2005-06-01,0,4227,0.4924457371234894
2005-07-01,0,4227,0.14529652893543243
2005-08-01,0,4227,0.07694905996322632
2005-09-01,0,4227,-0.13939587771892548
2005-10-01,0,4227,0.05409146845340729
2005-11-01,0,4227,-0.0973668098449707
2005-12-01,0,4227,-0.16545096039772034
2006-01-01,0,4227,-0.4499789774417877
2006-02-01,0,4227,-0.5105009078979492
2006-03-01,0,4227,-0.39221110939979553
2006-04-01,0,4227,-0.6199602484703064
2006-05-01,0,4227,-0.8078566193580627
2006-06-01,0,4227,-0.8074843883514404
2006-07-01,0,4227,-0.5999897122383118
2006-08-01,0,4227,-0.41322198510169983
2006-09-01,0,4227,-0.32318323850631714
2006-10-01,0,4227,-0.43213939666748047
2006-11-01,0,4227,-0.5288260579109192
2006-12-01,0,4227,0.43317168951034546
2007-01-01,0,4227,0.5285273790359497
2007-02-01,0,4227,0.5676467418670654
2007-03-01,0,4227,0.6393336057662964
2007-04-01,0,4227,0.8739947080612183
2007-05-01,0,4227,0.928220272064209
2007-06-01,0,4227,0.9264658093452454
2007-07-01,0,4227,0.726357102394104
2007-08-01,0,4227,0.562032163143158
2007-09-01,0,4227,0.5661001205444336
2007-10-01,0,4227,0.3172313868999481
2007-11-01,0,4227,0.26676857471466064
2007-12-01,0,4227,-0.7038359045982361
2008-01-01,0,4227,-0.8373546600341797
2008-02-01,0,4227,-0.8788114190101624
2008-03-01,0,4227,-1.1966784000396729
2008-04-01,0,4227,-1.4575592279434204
2008-05-01,0,4227,-1.5083757638931274
2008-06-01,0,4227,-1.7247709035873413
2008-07-01,0,4227,-1.618808627128601
2008-08-01,0,4227,-1.1480786800384521
2008-09-01,0,4227,-1.3548226356506348
2008-10-01,0,4227,-0.6518306136131287
2008-11-01,0,4227,-0.5957980751991272
2008-12-01,0,4227,-0.5845605134963989
2009-01-01,0,4227,-0.7796751856803894
